OTU	Test-Statistic	P	FDR_P	Bonferroni_P	acidic_mean	neutral_mean	basic/neutral_mean	acidic/neutral_mean	basic_mean	taxonomy
252012	56.4907751025	1.58212731347e-11	4.42874971518e-08	8.66214704125e-08	3.23529411765	0.0	0.0	1.88888888889	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__;s__
1104509	56.4445915542	1.61780811514e-11	4.42874971518e-08	8.85749943036e-08	3.05882352941	0.0588235294118	0.0588235294118	0.944444444444	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
154494	51.2840769672	1.94702547151e-10	3.44609590038e-07	1.06599644565e-06	10.2352941176	0.529411764706	0.0	5.05555555556	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
78839	50.7498409062	2.51769563498e-10	3.44609590038e-07	1.37843836015e-06	5.35294117647	0.176470588235	0.0588235294118	0.888888888889	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
1123837	49.0572150643	5.68052174551e-10	5.5685758563e-07	3.11008565567e-06	0.0	0.0	1.52941176471	0.0	8.38888888889	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
1147699	48.9080360104	6.10254888362e-10	5.5685758563e-07	3.34114551378e-06	3.88235294118	0.176470588235	0.0	2.27777777778	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
4362556	47.5292101848	1.18302671159e-09	9.25295892281e-07	6.47707124597e-06	0.0	0.0	0.705882352941	0.0	4.94444444444	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas;s__
319907	46.3970377404	2.03610444061e-09	1.36977570613e-06	1.11476718123e-05	4.70588235294	0.411764705882	0.0588235294118	1.66666666667	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
831520	46.187059722	2.25168609227e-09	1.36977570613e-06	1.23279813552e-05	0.0	0.0	0.294117647059	0.0	3.22222222222	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
1127423	45.4238961087	3.24558899136e-09	1.64295827708e-06	1.77695997277e-05	2.11764705882	0.0	0.0	0.833333333333	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
154519	45.2214657668	3.57596240962e-09	1.64295827708e-06	1.95783941927e-05	4.29411764706	0.588235294118	0.0	2.27777777778	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
4399094	45.2068914503	3.60100444292e-09	1.64295827708e-06	1.9715499325e-05	0.0	0.0588235294118	1.47058823529	0.0	5.27777777778	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas;s__
1129210	44.6268300145	4.75349328412e-09	2.00195197927e-06	2.60253757306e-05	9.05882352941	0.647058823529	0.0	1.33333333333	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
4341561	43.1708857826	9.53651890813e-09	3.729460073e-06	5.2212441022e-05	3.52941176471	0.352941176471	0.0	1.77777777778	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
156065	42.9854870516	1.04198751905e-08	3.80325444453e-06	5.7048816668e-05	2.23529411765	0.117647058824	0.0	1.33333333333	0.0	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__
511572	42.6103105036	1.24650460846e-08	4.26538295707e-06	6.82461273131e-05	0.0	0.0	0.0	0.0	2.66666666667	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
804187	42.2912258152	1.4516593049e-08	4.50010062195e-06	7.9478346943e-05	0.0588235294118	3.23529411765	12.0588235294	0.0	2.5	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
1121144	42.2514553551	1.47948513598e-08	4.50010062195e-06	8.10018111952e-05	2.41176470588	0.470588235294	0.0	1.22222222222	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__;s__
4681	41.6338244556	1.98665828894e-08	5.72471270103e-06	0.00010876954132	4.05882352941	0.411764705882	0.176470588235	1.16666666667	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
113212	41.1544667026	2.49699033334e-08	6.83551103751e-06	0.00013671022075	15.1176470588	0.294117647059	0.0588235294118	0.333333333333	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
279138	40.9796696607	2.71400645104e-08	7.02356186486e-06	0.000148591853194	6.47058823529	2.17647058824	0.176470588235	4.88888888889	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__;s__
1143247	40.8976291207	2.82225316944e-08	7.02356186486e-06	0.000154518361027	0.0	0.0588235294118	0.705882352941	0.0	3.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas;s__
4314933	40.6357876852	3.19738634179e-08	7.61116966145e-06	0.000175056902213	2.29411764706	0.294117647059	0.0	0.0555555555556	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
4466061	39.9048420255	4.52905782575e-08	1.0331913165e-05	0.00024796591596	0.0	0.0588235294118	0.470588235294	0.0	3.16666666667	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
3616127	39.2159333198	6.28642040788e-08	1.3252678917e-05	0.000344181517331	3.47058823529	0.705882352941	0.0588235294118	2.0	0.0	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__
843189	39.213564221	6.29350962268e-08	1.3252678917e-05	0.000344569651841	1.94117647059	0.0588235294118	0.0	0.388888888889	0.0	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter;s__
203969	38.935662309	7.18290596084e-08	1.45653370873e-05	0.000393264101356	2.58823529412	0.176470588235	0.0	0.388888888889	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
766178	38.3637670826	9.42704372106e-08	1.8433237276e-05	0.000516130643728	2.11764705882	0.235294117647	0.0588235294118	1.33333333333	0.0	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__
