	observed_species	PD_whole_tree
SF1.141728	245.0	22.1078
CO2.141657	213.0	18.64602
CA2.141685	251.0	22.35995
MD5.141688	145.0	12.93988
BP1.141702	242.0	23.6281
CA1.141704	244.0	21.12692
SB1.141730	258.0	22.95389
GB1.141665	249.0	23.87167
SA2.141687	262.0	24.33123
SV2.141666	234.0	19.49865
SV1.141649	204.0	16.70415
CL1.141697	256.0	19.23439
VC2.141694	263.0	22.3375
MT1.141719	273.0	23.63522
IE2.141655	270.0	23.42489
SA1.141670	264.0	21.56479
CC1.141721	294.0	27.07763
SR2.141673	242.0	20.52472
MD3.141707	173.0	15.88773
CO3.141651	237.0	19.4057
MD2.141689	214.0	17.12292
GB2.141732	257.0	23.67426
SR1.141680	279.0	23.36127
SR3.141674	274.0	24.40079
CR1.141682	245.0	20.98662
GB5.141668	214.0	19.04187
GB3.141652	214.0	18.66535
KP4.141733	276.0	26.6726
IT1.141711	258.0	22.9879
KP1.141713	277.0	24.12036
BF2.141708	202.0	13.59492
AR2.141703	227.0	21.99057
PE2.141725	175.0	12.64838
PE5.141692	176.0	12.20892
MT2.141698	241.0	21.54324
SN1.141681	174.0	13.43248
KP3.141658	237.0	21.1037
DF2.141726	270.0	24.92989
SP1.141656	292.0	25.28971
IT2.141720	226.0	19.26853
HI3.141676	214.0	20.16441
CL2.141671	291.0	24.12744
PE3.141731	190.0	13.26154
PE1.141715	183.0	14.01198
SK3.141716	245.0	21.14035
BB2.141659	150.0	12.76627
CF2.141679	134.0	9.05578
CF1.141675	173.0	12.92138
BF1.141647	196.0	15.17804
PE4.141683	180.0	10.22028
BZ1.141724	192.0	18.31163
PE6.141700	180.0	13.54563
TL2.141706	226.0	21.65752
MP2.141695	173.0	13.99957
HJ1.141718	166.0	14.59233
AR3.141705	219.0	20.28786
HI4.141735	185.0	14.68047
IE1.141648	267.0	25.23019
SF2.141677	232.0	22.35339
JT1.141699	206.0	16.90393
MD4.141660	164.0	16.87666
PE7.141734	256.0	20.92383
RT2.141710	243.0	22.16891
CL4.141667	246.0	22.04611
CM1.141723	224.0	19.99176
CO1.141714	251.0	21.32891
SN3.141650	241.0	19.54242
CL3.141664	269.0	23.07864
SK2.141662	249.0	22.9932
MP1.141661	177.0	14.93658
LQ3.141712	162.0	12.93385
HF1.141663	172.0	12.10942
HF2.141686	149.0	11.41435
HI2.141672	208.0	17.60888
DF1.141684	243.0	20.20597
TL3.141709	151.0	12.53276
SP2.141678	216.0	20.79969
CF3.141691	109.0	8.31724
HJ2.141717	231.0	21.25055
DF3.141696	233.0	17.32886
VC1.141722	237.0	22.02394
SK1.141669	166.0	14.69689
AR1.141727	224.0	19.71739
TL1.141653	119.0	11.8081
LQ2.141729	158.0	13.42058
LQ1.141701	211.0	19.46984
RT1.141654	254.0	21.84672
