	observed_species	PD_whole_tree
F21Plml.140704	140.0	14.47385
F21Forr.140353	141.0	15.39825
M22Pinr.140692	78.0	9.73944
M43Knee.140412	185.0	16.94992
M12Glns.140683	43.0	6.2742
M11Glns.140664	41.0	6.29317
M11Nstl.140810	45.0	5.06846
M12Navl.140334	176.0	17.1603
M31Urin.140563	91.0	10.87625
M12Frhd.140766	70.0	10.04946
M31Indl.140291	125.0	12.81879
M12Fotl.140774	90.0	9.81831
M31Kner.140321	164.0	15.86249
M11Forl.140337	141.0	14.8082
M12Fotr.140278	95.0	10.55674
M11Knel.140676	140.0	14.14505
M32Plml.140507	148.0	15.2441
M21Forr.140361	167.0	18.47354
F31Labi.140819	23.0	5.12842
F32Kner.140397	172.0	18.23901
F32Hair.140769	40.0	4.59841
F31Nstr.140608	55.0	8.1403
M42Plmr.140511	163.0	15.64409
F32Labi.140727	21.0	4.79293
F32Plml.140737	141.0	14.86173
M22Plml.140625	182.0	17.2214
F31Knel.140379	82.0	11.75293
M34Knee.140362	131.0	14.8434
M14Knee.140681	121.0	12.22812
M41Frhd.140449	57.0	7.72069
M13Urin.140575	28.0	5.40777
M33Knee.140298	136.0	12.11617
M13Plmr.140301	139.0	14.53579
M14Frhd.140825	53.0	4.69977
F34Fotl.140856	302.0	24.51504
M14Fotr.140729	79.0	9.17402
M54Fotl.140823	232.0	21.69834
M43Plmr.140716	197.0	18.91601
M13Uric.140340	59.0	9.36642
M33Frhd.140580	71.0	8.64479
M54Fotr.140667	219.0	21.49502
M13Plml.140472	98.0	10.70715
M43Plml.140405	195.0	17.95622
M24Knee.140796	161.0	17.06181
M34Plmr.140826	167.0	15.74748
F33Fotr.140629	297.0	23.94141
M24Plml.140651	139.0	14.61296
F21Labi.140606	37.0	6.17701
M54Uric.140775	107.0	14.48289
M44Urin.140414	22.0	3.20548
M63Urin.140645	24.0	4.81529
F33Urin.140518	3.0	0.85426
F23Urin.140495	7.0	1.28887
F32Fotl.140455	102.0	13.5257
M22Frhd.140287	119.0	12.93314
F14Fotl.140552	34.0	3.86465
F22Mout.140788	115.0	10.74281
F11Indr.140809	170.0	16.65482
F22Indl.140644	107.0	13.2267
F12Indr.140556	204.0	17.5442
F22Knel.140720	149.0	15.69693
M32Nstl.140853	71.0	8.62683
M21Plmr.140842	195.0	18.01217
M22Forl.140587	190.0	18.32777
M21Plml.140352	230.0	20.14992
F32Nstl.140804	82.0	10.56679
M21Nstl.140369	198.0	17.59092
M24Plmr.140833	159.0	15.65862
F23Nost.140510	70.0	10.34755
F31Fotr.140874	176.0	19.18915
F33Plml.140709	259.0	20.24897
F32Nose.140543	38.0	5.81192
F12Nstl.140831	63.0	7.8798
F21Navl.140840	105.0	10.68708
F12Mout.140450	105.0	10.12533
M31Indr.140588	144.0	14.63473
F21Knel.140372	143.0	16.6342
M31Plmr.140505	158.0	14.01128
M12Mout.140350	121.0	12.31146
F22Hair.140512	93.0	12.0209
M11Mout.140852	143.0	13.99153
M31Tong.140808	69.0	8.87797
M32Nstr.140494	96.0	11.17143
F11Mout.140583	121.0	11.26053
