OTU	Test-Statistic	P	FDR_P	Bonferroni_P	skin/other_mean	oral_mean	gut_mean	taxonomy
195508	356.78856671	3.34462272168e-78	2.18371572567e-74	2.2352113649e-74	0.0152838427948	0.0	3.75609756098	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae
3866487	355.448888163	6.53513609359e-78	2.18371572567e-74	4.36743145135e-74	0.0851528384279	5.31111111111	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__
176108	343.149973909	3.06146947068e-75	6.81993349084e-72	2.04598004725e-71	0.028384279476	0.0	11.8048780488	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
772282	335.132548659	1.68613252436e-73	2.73323318411e-70	1.12684236603e-69	0.0131004366812	0.0	2.46341463415	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
572476	334.746711279	2.04491484671e-73	2.73323318411e-70	1.36661659205e-69	0.00218340611354	0.0	2.07317073171	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis
1616059	332.756839431	5.53057657397e-73	6.16014054064e-70	3.69608432438e-69	0.0720524017467	6.62222222222	0.0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__
370098	316.032542201	2.3681292938e-69	2.26088686721e-66	1.58262080704e-65	0.0305676855895	0.0	5.60975609756	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__
589071	308.289137753	1.13727193408e-67	9.50048541928e-65	7.60038833542e-64	0.25327510917	0.0	21.6097560976	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis
2163609	299.009950198	1.17710254184e-65	8.74064031899e-63	7.86657628709e-62	0.0742358078603	5.31111111111	0.0	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__
799024	290.567024332	8.0199628176e-64	5.359741151e-61	5.359741151e-60	0.028384279476	2.2	0.0	k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__;s__
524848	283.560136976	2.66500858163e-62	1.61911385009e-59	1.7810252351e-58	0.0480349344978	0.0	7.75609756098	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
518743	282.48068887	4.57191123298e-62	2.54617356417e-59	3.055408277e-58	0.168122270742	9.53333333333	0.341463414634	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula
359809	280.924193635	9.95603547877e-62	5.11816808497e-59	6.65361851046e-58	0.00655021834061	0.0	4.85365853659	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella;s__
526682	268.387203067	5.25362835431e-59	2.50785702085e-56	3.51099982919e-55	0.0327510917031	1.51111111111	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
367977	267.359585558	8.78220669133e-59	3.91276582121e-56	5.86914873181e-55	0.0	0.0	1.70731707317	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
4354870	265.984218798	1.74687066271e-58	7.29646039929e-56	1.16743366389e-54	0.089519650655	4.15555555556	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__
2662130	264.931767262	2.95663489813e-58	1.16230535436e-55	1.97591910242e-54	0.211790393013	9.37777777778	0.146341463415	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula
499019	264.458232079	3.74648982168e-58	1.39098841546e-55	2.50377914783e-54	0.0371179039301	4.55555555556	0.0	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
215855	262.919642586	8.08583770977e-58	2.84408702181e-55	5.40376534144e-54	0.0371179039301	0.0	3.36585365854	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
887641	261.350053551	1.77238044162e-57	5.92240924566e-55	1.18448184913e-53	0.0131004366812	1.42222222222	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae
360518	258.384703905	7.8068249758e-57	2.48442911016e-54	5.21730113133e-53	0.00655021834061	0.0	2.90243902439	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
530327	258.14104123	8.81830509558e-57	2.65394826631e-54	5.89327329537e-53	0.0371179039301	0.0	2.14634146341	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii
851323	258.070749261	9.13374384635e-57	2.65394826631e-54	6.10408101252e-53	0.00873362445415	0.0	2.34146341463	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__
196590	257.178043748	1.42724117651e-56	3.97427199277e-54	9.53825278264e-53	0.0109170305677	0.0	1.56097560976	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
894969	253.402973451	9.42417769336e-56	2.51927118099e-53	6.29817795248e-52	0.133187772926	4.06666666667	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
583117	241.684693232	3.30244569104e-53	8.4885555974e-51	2.20702445532e-49	0.0305676855895	0.0	2.53658536585	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
1671682	241.076901105	4.47523729063e-53	1.1077041042e-50	2.99080108133e-49	0.314410480349	17.6888888889	0.170731707317	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula
520413	238.366574217	1.73522610934e-52	4.14161288883e-50	1.15965160887e-48	0.220524017467	0.0	7.43902439024	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii
361722	231.443305861	5.52999445272e-51	1.27437768716e-48	3.69569529275e-47	0.00655021834061	0.0	1.26829268293	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii
1060104	230.616622056	8.36058762313e-51	1.86246023618e-48	5.58738070854e-47	0.0698689956332	2.22222222222	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
875735	229.798206997	1.25879026316e-50	2.71370817054e-48	8.41249532868e-47	0.0218340611354	1.53333333333	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
184725	229.258478774	1.64874643487e-50	3.44330388258e-48	1.10185724243e-46	0.00655021834061	0.0	2.53658536585	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
960871	227.399419267	4.17679838482e-50	8.4586495775e-48	2.79135436058e-46	0.0393013100437	3.22222222222	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
4465561	224.353651821	1.91524135028e-49	3.76457586586e-47	1.27995579439e-45	0.0305676855895	4.44444444444	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
554436	219.555223437	2.10954597244e-48	4.02802735252e-46	1.40980957338e-44	0.414847161572	0.0222222222222	8.19512195122	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii
999477	217.825145023	5.01038096018e-48	9.30121554358e-46	3.34843759569e-44	0.10480349345	3.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__nanceiensis
174036	216.234808434	1.10970604233e-47	2.00436904889e-45	7.41616548089e-44	0.00436681222707	0.0	0.975609756098	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
