	observed_species	PD_whole_tree
L2S143.273631	1224.0	73.69816
L2S324.274843	858.0	52.92922
L2S371.274597	788.0	50.30807
L2S174.274862	767.0	47.53084
L2S164.274096	891.0	57.65608
L2S308.274146	742.0	48.36018
L2S197.275032	1322.0	81.09112
L2S228.273850	1026.0	62.12639
L2S134.275076	1205.0	70.24092
L2S214.275121	1289.0	74.55104
L2S212.274232	1146.0	69.14888
L2S345.273609	900.0	59.44251
L2S199.273944	1202.0	73.1352
L2S334.273744	898.0	58.95578
L2S367.275059	604.0	41.31048
L2S203.273915	1089.0	65.3169
L2S378.273921	906.0	57.71281
L2S273.274755	791.0	48.13268
L2S193.274142	955.0	61.63522
L2S166.274382	1238.0	71.048
L2S173.273804	1209.0	71.75754
L2S285.274068	657.0	41.80743
L2S341.273465	1023.0	62.97367
L2S364.275173	849.0	51.8781
L2S216.273851	1454.0	78.08838
L2S159.273882	886.0	54.78843
L2S229.274131	1301.0	73.12917
L2S167.274135	984.0	58.92178
L2S224.275168	1333.0	75.23637
L2S294.273818	695.0	45.95905
L2S155.273430	755.0	49.58093
L2S335.273456	982.0	56.51229
L2S227.275054	1256.0	71.57537
L2S361.273372	1239.0	75.60085
L2S370.273996	1245.0	74.25806
L2S376.273627	411.0	25.56069
L2S176.274685	1461.0	79.66082
L2S365.274608	1279.0	75.64866
L2S331.274731	374.0	25.02783
L2S201.273251	1290.0	74.99431
L2S156.274830	1267.0	74.34983
L2S165.273826	1601.0	86.66282
L2S219.273918	977.0	56.47732
L2S355.274178	1303.0	71.53058
L2S108.274917	1138.0	68.09986
L2S126.273811	723.0	47.59363
L2S185.274170	1285.0	75.81537
L2S207.274643	1673.0	92.15324
L2S215.274614	1188.0	69.18163
L2S289.275164	858.0	57.78547
L2S218.274421	891.0	55.29127
L2S179.274237	863.0	53.73882
L2S154.273597	855.0	55.62201
L2S211.274302	1175.0	71.82774
L2S113.273234	990.0	58.57697
L2S98.274156	1228.0	72.65922
L2S293.274140	784.0	51.25646
L2S100.273994	810.0	50.57038
L2S217.274124	1254.0	71.2087
L2S127.273578	851.0	53.69525
L2S103.274678	1224.0	71.08767
L2S151.274704	1013.0	61.70963
L2S377.274512	869.0	55.23303
L2S330.275005	826.0	50.0576
L2S372.275084	1133.0	64.96302
L2S347.275157	931.0	61.78632
L2S296.273441	617.0	40.85175
L2S210.273444	1484.0	83.99846
L2S311.274660	592.0	38.919
L2S265.273653	686.0	42.92344
L2S198.273998	1009.0	63.85816
L2S208.274717	1494.0	85.05821
L2S200.273345	1054.0	63.62776
L2S157.274738	1216.0	72.54363
L2S299.274778	786.0	51.52945
L2S178.274740	1082.0	66.01318
L2S187.273503	1170.0	69.74641
L2S158.273322	1389.0	82.32339
L2S222.273793	1226.0	71.35135
L2S315.275112	742.0	51.29965
L2S137.273277	1157.0	66.78961
L2S220.274533	1459.0	81.30999
L2S162.274593	905.0	54.14315
L2S194.274054	1112.0	65.55654
L2S150.273249	1226.0	69.84869
L2S230.274079	1190.0	69.26752
L2S357.274102	652.0	42.02959
L2S125.274921	1111.0	68.23916
L2S190.273784	1001.0	62.21496
L2S152.273834	1065.0	62.69757
L2S115.273884	1259.0	74.64213
L2S124.273871	1097.0	65.23092
L2S209.275051	1419.0	79.77079
L2S226.273622	1257.0	72.17429
L2S313.274461	535.0	37.61651
L2S116.274289	825.0	52.47459
L2S374.274430	534.0	37.63011
L2S170.274497	1328.0	75.02087
L2S140.275066	1035.0	64.75164
L2S213.273541	753.0	47.41983
L2S279.273856	763.0	48.65948
L2S172.273405	1213.0	72.14861
L2S123.273268	1168.0	66.89764
L2S120.274680	835.0	52.54103
L2S379.273801	342.0	24.08808
L2S181.275050	712.0	46.6447
L2S111.273340	1000.0	61.08519
L2S188.274490	1201.0	70.51761
L2S171.274467	1232.0	72.29793
L2S260.273463	713.0	44.22577
L2S380.274540	1022.0	60.68701
L2S336.273961	747.0	48.73839
L2S253.274272	780.0	46.87636
L2S189.274133	1197.0	72.64361
L2S290.274503	728.0	48.8236
L2S362.273633	1524.0	85.464
L2S358.274273	944.0	59.00385
L2S135.274833	1000.0	60.33142
L2S246.273825	791.0	48.84643
L2S307.273507	492.0	36.53132
L2S274.274264	606.0	41.23941
L2S169.274366	784.0	51.04898
L2S110.274511	1090.0	62.05155
L2S280.274825	527.0	37.98608
L3S348.275040	1427.0	79.23107
L3S354.274774	790.0	50.51873
L3S366.274441	1010.0	60.00912
L3S349.273342	1161.0	71.51238
L3S13.274353	1304.0	74.3119
L3S49.274309	1146.0	67.53782
L3S352.273402	1221.0	71.28902
L3S14.273678	970.0	59.22609
L4S143.274451	1065.0	64.73913
L3S236.274861	1038.0	65.70984
L3S316.273550	755.0	50.74153
L3S283.274703	678.0	49.29376
L3S272.273223	1146.0	68.54127
L3S345.275161	1592.0	92.07188
L4S163.274482	730.0	47.51685
L4S266.274150	748.0	47.73705
L4S113.274623	1090.0	68.19594
L2S350.274395	785.0	50.35326
L3S18.274069	591.0	39.58603
L3S60.273457	1321.0	75.07096
L3S298.274359	897.0	60.45153
L3S323.273475	1042.0	61.63019
L3S292.273460	1157.0	71.29748
L3S277.274737	1025.0	62.15794
L3S351.274147	908.0	60.17152
L3S5.273971	1097.0	65.80777
L3S12.274558	1138.0	67.6592
L3S338.273995	1256.0	71.94882
L3S339.274517	914.0	58.82499
L3S235.274938	1067.0	65.05617
L4S95.275048	1197.0	73.26522
L4S265.274767	786.0	51.92406
L2S175.273504	710.0	45.11535
L4S162.273791	1024.0	60.74073
L3S322.274182	1256.0	73.38773
L3S291.273654	1200.0	70.31062
L3S61.274866	975.0	59.7089
L3S64.274657	1045.0	60.78499
L3S335.274841	1092.0	65.02162
L3S334.274682	1215.0	75.17889
L2S183.273458	1015.0	61.2026
L3S341.273777	958.0	60.79007
L4S63.274255	920.0	57.27246
L3S311.275000	1240.0	71.98402
L3S347.273603	1229.0	69.70273
L4S69.274668	577.0	41.0672
L4S164.274024	827.0	52.89388
L3S19.274337	840.0	54.988
L3S368.273619	1061.0	64.96903
L3S331.274038	1176.0	73.47945
L3S112.273498	490.0	33.81324
L3S309.273407	1320.0	79.49333
L4S263.274538	768.0	48.11064
L3S127.274265	1059.0	63.63869
