OTU	Test-Statistic	P	FDR_P	Bonferroni_P	UBERON:saliva_mean	UBERON:sebum_mean	UBERON:feces_mean	taxonomy
4458959	1439.75746921	0	0.0	0.0	135.419291339	9.696875	0.948608137045	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__
197072	1590.79658366	0	0.0	0.0	0.346456692913	0.570833333333	103.779443255	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis
308848	1510.62889758	0	0.0	0.0	637.405511811	34.1541666667	3.72591006424	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
4318470	1706.55898579	0	0.0	0.0	0.0255905511811	0.040625	6.7687366167	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
2420187	1473.78011354	0	0.0	0.0	0.0	0.00729166666667	3.13062098501	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
193831	1449.859487	0	0.0	0.0	0.0	0.116666666667	8.52890792291	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__
1062356	1570.81568835	0	0.0	0.0	0.00590551181102	54.1958333333	0.27408993576	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__
192935	1545.57930804	0	0.0	0.0	0.00984251968504	0.0541666666667	5.5182012848	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__
338177	1691.55102487	0	0.0	0.0	0.00196850393701	0.0489583333333	8.93790149893	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__faecis
519673	1590.84041802	0	0.0	0.0	0.00393700787402	20.440625	0.0235546038544	k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__;g__;s__
377874	1590.68238864	0	0.0	0.0	0.00787401574803	21.4895833333	0.119914346895	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__;s__
844375	1708.16815282	0	0.0	0.0	0.00787401574803	0.0166666666667	8.98715203426	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
1607319	1599.74060238	0	0.0	0.0	0.00196850393701	0.0854166666667	14.6423982869	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
176306	1667.36146139	0	0.0	0.0	0.00393700787402	0.025	5.30406852248	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
180999	1435.48661284	0	0.0	0.0	0.00196850393701	0.0510416666667	4.16274089936	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
4426249	1613.71036445	0	0.0	0.0	0.0669291338583	0.03125	9.45824411135	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__
198788	1672.51543538	0	0.0	0.0	0.133858267717	0.217708333333	47.8608137045	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
180606	1633.36240617	0	0.0	0.0	0.0669291338583	0.216666666667	16.3361884368	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus
282360	1568.06651806	0	0.0	0.0	0.00196850393701	32.5739583333	0.0299785867238	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__
2876801	1702.28856702	0	0.0	0.0	0.0511811023622	0.0979166666667	16.9764453961	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis
193233	1784.16219182	0	0.0	0.0	0.00984251968504	0.0447916666667	13.7773019272	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
2949328	1670.15823211	0	0.0	0.0	0.00393700787402	0.059375	7.84582441113	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
4439469	1550.85758222	0	0.0	0.0	0.00393700787402	0.0302083333333	4.86723768737	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
4352747	1760.08772172	0	0.0	0.0	0.0413385826772	0.0458333333333	15.0406852248	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus
4483337	1518.60669758	0	0.0	0.0	0.0354330708661	0.0416666666667	15.9400428266	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
197624	1578.42789645	0	0.0	0.0	0.0137795275591	0.0177083333333	3.43468950749	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
188735	1584.79352277	0	0.0	0.0	0.0	0.00729166666667	4.02355460385	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
4431803	1555.16476727	0	0.0	0.0	1.63385826772	149.388541667	0.00856531049251	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__;s__
152001	1568.79460391	0	0.0	0.0	0.00787401574803	20.4635416667	0.394004282655	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__aureus
2383341	1752.12394452	0	0.0	0.0	0.0236220472441	0.0697916666667	14.2355460385	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis
182874	1585.73273521	0	0.0	0.0	0.0236220472441	0.148958333333	9.33832976445	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
4453773	1706.9912119	0	0.0	0.0	0.00590551181102	0.208333333333	21.4154175589	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__
1733364	1614.6117575	0	0.0	0.0	0.0649606299213	0.21875	25.903640257	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis
1504042	1656.71860519	0	0.0	0.0	0.00590551181102	0.0354166666667	9.9443254818	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__
197367	1463.59920939	0	0.0	0.0	0.362204724409	0.772916666667	72.4668094218	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
3138798	1594.28427669	0	0.0	0.0	0.503937007874	0.678125	89.460385439	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium;s__
3302038	1709.04483609	0	0.0	0.0	0.0157480314961	0.134375	11.7580299786	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__
403068	1634.37459728	0	0.0	0.0	0.0452755905512	167.296875	0.687366167024	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__
174818	1435.09523408	0	0.0	0.0	0.0	0.0114583333333	2.88436830835	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
4479397	1496.75341502	0	0.0	0.0	0.0157480314961	0.217708333333	50.4689507495	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis
4278525	1648.84254485	0	0.0	0.0	0.0	0.0177083333333	5.02141327623	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
4458576	1545.03156088	0	0.0	0.0	0.0157480314961	0.05	5.24411134904	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
