	observed_species	PD_whole_tree
SF1.141728	335.0	54.92787
CO2.141657	312.0	50.47681
CA2.141685	333.0	55.1899
MD5.141688	228.0	34.15605
BP1.141702	308.0	56.98231
CA1.141704	331.0	59.42756
SB1.141730	316.0	51.97765
GB1.141665	343.0	55.41264
SA2.141687	342.0	57.62273
SV2.141666	329.0	47.90978
SV1.141649	312.0	50.84495
CL1.141697	336.0	59.60784
VC2.141694	337.0	60.00005
MT1.141719	357.0	59.85404
IE2.141655	328.0	53.40766
SA1.141670	343.0	54.44966
CC1.141721	355.0	68.05488
SR2.141673	341.0	55.66613
MD3.141707	304.0	47.60927
CO3.141651	337.0	53.5914
MD2.141689	321.0	45.25913
GB2.141732	332.0	53.31905
SR1.141680	351.0	57.1051
SR3.141674	346.0	54.26429
CR1.141682	328.0	54.17711
GB5.141668	314.0	50.93995
GB3.141652	295.0	45.89908
KP4.141733	338.0	56.90035
IT1.141711	336.0	60.21921
KP1.141713	338.0	53.44445
BF2.141708	294.0	44.64363
AR2.141703	322.0	57.92403
PE2.141725	306.0	42.54568
PE5.141692	273.0	35.95434
MT2.141698	320.0	52.13062
SN1.141681	273.0	38.04826
KP3.141658	319.0	46.52629
DF2.141726	339.0	57.2186
SP1.141656	365.0	59.80029
IT2.141720	328.0	55.30835
HI3.141676	308.0	50.34926
CL2.141671	355.0	62.10205
PE3.141731	279.0	40.69811
PE1.141715	300.0	44.94703
SK3.141716	318.0	59.05699
BB2.141659	257.0	37.06497
CF2.141679	250.0	32.47833
CF1.141675	297.0	46.43306
BF1.141647	308.0	41.36357
PE4.141683	284.0	36.47038
BZ1.141724	302.0	50.9886
PE6.141700	292.0	44.65958
TL2.141706	309.0	56.31261
MP2.141695	279.0	42.04638
HJ1.141718	275.0	42.91394
AR3.141705	311.0	50.38318
HI4.141735	299.0	47.25625
IE1.141648	321.0	58.97368
SF2.141677	323.0	55.08458
JT1.141699	310.0	43.75282
MD4.141660	270.0	39.24864
PE7.141734	343.0	61.83584
RT2.141710	332.0	52.98086
CL4.141667	329.0	52.14236
CM1.141723	309.0	53.2636
CO1.141714	332.0	57.93846
SN3.141650	335.0	55.35713
CL3.141664	351.0	61.38534
SK2.141662	332.0	56.53486
MP1.141661	282.0	43.65126
LQ3.141712	281.0	41.37865
HF1.141663	273.0	38.61889
HF2.141686	257.0	38.83608
HI1.141693	237.0	34.93419
HI2.141672	293.0	40.70557
DF1.141684	326.0	54.12309
TL3.141709	282.0	47.22671
SP2.141678	322.0	54.86789
CF3.141691	216.0	26.43948
HJ2.141717	325.0	54.88636
DF3.141696	313.0	46.40424
VC1.141722	325.0	55.91692
SK1.141669	253.0	42.74805
AR1.141727	337.0	51.08835
TL1.141653	258.0	40.88272
LQ2.141729	268.0	38.56631
LQ1.141701	326.0	51.39889
RT1.141654	310.0	46.53285
