	observed_species	PD_whole_tree
L2S312.275026	921.0	94.26666
L2S143.273631	1301.0	118.159
L2S324.274843	904.0	86.16148
L2S371.274597	860.0	87.80823
L2S174.274862	848.0	83.17618
L2S164.274096	972.0	105.53461
L2S308.274146	820.0	77.70229
L2S197.275032	1388.0	133.89044
L2S228.273850	1233.0	108.39445
L2S134.275076	1301.0	118.82492
L2S214.275121	1376.0	122.18933
L2S212.274232	1235.0	111.74753
L2S345.273609	997.0	99.19599
L2S199.273944	1302.0	123.27865
L2S334.273744	944.0	94.40693
L2S367.275059	693.0	77.74872
L2S203.273915	1189.0	113.83352
L2S378.273921	960.0	99.27483
L2S273.274755	888.0	91.35177
L2S193.274142	1144.0	112.34277
L2S166.274382	1240.0	115.90209
L2S173.273804	1390.0	126.87025
L2S285.274068	720.0	70.52076
L2S341.273465	1124.0	105.62377
L2S364.275173	919.0	91.35096
L2S216.273851	1592.0	133.19018
L2S159.273882	989.0	97.9996
L2S229.274131	1459.0	126.18273
L2S167.274135	1061.0	101.02009
L2S224.275168	1503.0	134.35196
L2S294.273818	804.0	81.11353
L2S155.273430	832.0	82.98054
L2S335.273456	982.0	94.15417
L2S227.275054	1445.0	128.13304
L2S361.273372	1410.0	134.46127
L2S370.273996	1315.0	119.67905
L2S376.273627	535.0	49.62037
L2S176.274685	1527.0	138.09566
L2S365.274608	1398.0	131.21941
L2S331.274731	430.0	42.87002
L2S201.273251	1479.0	139.40004
L2S156.274830	1312.0	123.91469
L2S165.273826	1721.0	142.52441
L2S219.273918	1104.0	107.01734
L2S355.274178	1406.0	119.98516
L2S108.274917	1277.0	117.54449
L2S126.273811	837.0	84.45872
L2S185.274170	1402.0	128.9682
L2S207.274643	1803.0	151.79392
L2S215.274614	1250.0	114.29137
L2S289.275164	940.0	94.07902
L2S218.274421	1000.0	97.65998
L2S179.274237	978.0	103.26941
L2S154.273597	937.0	92.49786
L2S211.274302	1329.0	127.64872
L2S113.273234	1097.0	99.66738
L2S98.274156	1328.0	118.86666
L2S293.274140	873.0	85.29048
L2S100.273994	920.0	90.1167
L2S217.274124	1352.0	122.54868
L2S127.273578	1014.0	95.91146
L2S103.274678	1348.0	117.7846
L2S151.274704	1150.0	106.60159
L2S377.274512	1003.0	96.30735
L2S330.275005	914.0	87.06746
L2S372.275084	1256.0	113.09729
L2S347.275157	1058.0	107.35015
L2S296.273441	727.0	70.59369
L2S210.273444	1621.0	149.9178
L2S311.274660	658.0	66.33014
L2S265.273653	807.0	77.45294
L2S198.273998	1143.0	110.78854
L2S208.274717	1729.0	145.11592
L2S200.273345	1151.0	115.08078
L2S157.274738	1225.0	117.88146
L2S299.274778	840.0	85.95633
L2S178.274740	1208.0	115.46401
L2S187.273503	1257.0	115.82416
L2S158.273322	1496.0	138.9488
L2S222.273793	1343.0	127.68505
L2S315.275112	781.0	80.88512
L2S137.273277	1315.0	122.14523
L2S220.274533	1544.0	134.70119
L2S162.274593	915.0	91.49426
L2S194.274054	1265.0	126.21567
L2S150.273249	1297.0	118.36682
L2S230.274079	1305.0	119.66253
L2S357.274102	708.0	70.8393
L2S125.274921	1194.0	114.92723
L2S190.273784	1104.0	109.78849
L2S152.273834	1148.0	106.73481
L2S115.273884	1352.0	127.54294
L2S124.273871	1218.0	114.28689
L2S209.275051	1611.0	142.48154
L2S226.273622	1434.0	128.77274
L2S313.274461	590.0	64.03958
L2S116.274289	940.0	95.74866
L2S374.274430	615.0	65.15147
L2S170.274497	1405.0	129.72995
L2S140.275066	1118.0	107.6712
L2S213.273541	849.0	82.93646
L2S279.273856	849.0	84.62973
L2S172.273405	1233.0	117.53902
L2S123.273268	1264.0	115.87564
L2S120.274680	945.0	91.44622
L2S181.275050	812.0	79.2453
L2S111.273340	1058.0	104.12942
L2S188.274490	1350.0	122.35774
L2S171.274467	1318.0	120.29794
L2S260.273463	820.0	80.24136
L2S380.274540	1139.0	107.52834
L2S336.273961	863.0	83.80682
L2S253.274272	887.0	84.29733
L2S189.274133	1309.0	122.26379
L2S290.274503	804.0	86.60739
L2S362.273633	1642.0	145.38836
L2S358.274273	995.0	94.89578
L2S135.274833	1134.0	108.10803
L2S246.273825	901.0	86.6685
