,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,,0.971906798573628,0.9791803441483632,0.9719041927731076,0.971908050041944,0.9999506049422666,0.9324531871619607,0.9852779977490506,0.9323176145798557,0.9324000247028865
ucr,,,0.9907359527600276,0.9999970970338918,0.9999968008432466,0.9718191035810237,0.9753802556101229,0.9722065775616758,0.9752789463415584,0.9753598192629712
ucrC,,,,0.9907311186414943,0.9907335726462094,0.9790707211876989,0.9759175393014735,0.9651257853539953,0.9759396396205964,0.975906513102294
ucrss,,,,,0.9999944409266589,0.9718154346328123,0.975377586856296,0.9722046854958002,0.9752774868839468,0.975357372487814
ucrss_wfilter,,,,,,0.9718203837244974,0.9753838568435975,0.9722065305815183,0.975279785703899,0.9753665579318263
uc_fast,,,,,,,0.9322947458182075,0.98518839083095,0.9321581432590632,0.932235974458381
ucr_fast,,,,,,,,0.9517006322643787,0.9999643870723608,0.9999908314579956
ucrC_fast,,,,,,,,,0.9517215525821718,0.9516547993832238
ucrss_fast,,,,,,,,,,0.9999507324251428
ucrss_fast_wfilter,,,,,,,,,,
