,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,,0.958787224475543,0.8996100927203451,0.9587813704241397,0.9587708799477226,0.9997226581031613,0.9128560472829695,0.8786950267886884,0.912999994010845,0.9128721743273854
ucr,,,0.9177732334011365,0.9999966895752033,0.9999957255985752,0.9567018223966568,0.966950193216692,0.8711303266380078,0.9668219821354291,0.9669513215017145
ucrC,,,,0.9177585280589973,0.917775913542728,0.8963881959840915,0.8925134272149583,0.9345491338374765,0.8922696551190521,0.892575634265231
ucrss,,,,,0.9999930227046697,0.956695008117859,0.9669419321382994,0.8711082349775626,0.9668152729433901,0.9669438711256866
ucrss_wfilter,,,,,,0.9566853967064607,0.9669524758651773,0.871174714942246,0.9668207201072471,0.9669567322048069
uc_fast,,,,,,,0.9118407787168042,0.8755429207037666,0.9119915869629034,0.911852669868418
ucr_fast,,,,,,,,0.854585206888355,0.9998997051381141,0.9999887834091596
ucrC_fast,,,,,,,,,0.8543315615655201,0.8546819613209939
ucrss_fast,,,,,,,,,,0.9998866130165592
ucrss_fast_wfilter,,,,,,,,,,
