,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,,0.9983146065320279,0.9878501701500726,0.9983149049083646,0.9983129449695781,0.9999873652388741,0.9999861435936007,0.9943256914493687,0.999958236529322,0.9999837732543503
ucr,,,0.988692423826169,0.9999984008279726,0.9999987412131076,0.9983229668256869,0.9983345337736871,0.9935069231466654,0.9982980091160815,0.9983346323211452
ucrC,,,,0.9886875722136276,0.988695569512094,0.9878552407955601,0.9878497467653222,0.9849153022133845,0.9878026919179081,0.9878487829135341
ucrss,,,,,0.9999973909941486,0.9983223553026299,0.99833408894441,0.9935039240537284,0.9982992601771931,0.9983345182501652
ucrss_wfilter,,,,,,0.9983223543849009,0.9983339869455657,0.9935083636830101,0.9982954018191541,0.9983363624692883
uc_fast,,,,,,,0.999994075172276,0.9943230331932716,0.9999671428829621,0.9999896477680269
ucr_fast,,,,,,,,0.9943121365510574,0.9999741689505032,0.9999961363353166
ucrC_fast,,,,,,,,,0.9942872463652259,0.9943080344062939
ucrss_fast,,,,,,,,,,0.999965494113149
ucrss_fast_wfilter,,,,,,,,,,
