	observed_species	PD_whole_tree
L2S312.275026	797.0	52.81595
L2S143.273631	1195.0	72.46954
L2S324.274843	818.0	52.39931
L2S371.274597	752.0	49.57076
L2S174.274862	736.0	47.77894
L2S164.274096	788.0	53.61274
L2S308.274146	743.0	49.78561
L2S197.275032	1231.0	78.99156
L2S228.273850	991.0	63.05733
L2S134.275076	1118.0	69.95735
L2S214.275121	1224.0	73.56082
L2S212.274232	1085.0	66.54649
L2S345.273609	841.0	57.67407
L2S199.273944	1077.0	71.60082
L2S334.273744	865.0	56.71364
L2S367.275059	591.0	42.92573
L2S203.273915	994.0	64.35172
L2S378.273921	871.0	56.83002
L2S273.274755	724.0	47.59284
L2S193.274142	951.0	64.32214
L2S166.274382	1149.0	70.53553
L2S173.273804	1142.0	70.30785
L2S285.274068	634.0	43.8772
L2S341.273465	980.0	63.64555
L2S364.275173	772.0	52.01528
L2S216.273851	1379.0	78.33125
L2S159.273882	840.0	55.97927
L2S229.274131	1234.0	75.158
L2S167.274135	936.0	60.10614
L2S224.275168	1282.0	76.23216
L2S294.273818	664.0	47.95886
L2S155.273430	703.0	49.76027
L2S335.273456	878.0	55.1508
L2S227.275054	1204.0	71.86866
L2S361.273372	1239.0	77.85912
L2S370.273996	1161.0	72.113
L2S376.273627	407.0	27.83283
L2S176.274685	1400.0	78.66536
L2S365.274608	1202.0	74.77741
L2S331.274731	340.0	24.14543
L2S201.273251	1197.0	73.58532
L2S156.274830	1136.0	72.63693
L2S165.273826	1485.0	85.58559
L2S219.273918	940.0	60.94407
L2S355.274178	1256.0	74.28219
L2S108.274917	1096.0	67.32651
L2S126.273811	696.0	49.8579
L2S185.274170	1223.0	74.46262
L2S207.274643	1575.0	91.60198
L2S215.274614	1083.0	67.2462
L2S289.275164	812.0	54.9078
L2S218.274421	844.0	54.24653
L2S179.274237	840.0	54.77982
L2S154.273597	795.0	53.17189
L2S211.274302	1129.0	70.34631
L2S113.273234	910.0	57.65472
L2S98.274156	1152.0	70.18319
L2S293.274140	735.0	49.68225
L2S100.273994	750.0	49.74109
L2S217.274124	1227.0	73.34676
L2S127.273578	844.0	54.3861
L2S103.274678	1195.0	70.30539
L2S151.274704	1019.0	66.07804
L2S377.274512	866.0	57.69857
L2S330.275005	806.0	51.21391
L2S372.275084	1094.0	66.188
L2S347.275157	922.0	61.67311
L2S296.273441	603.0	41.2565
L2S210.273444	1394.0	81.69941
L2S311.274660	536.0	36.71242
L2S265.273653	662.0	43.07446
L2S198.273998	988.0	64.39173
L2S208.274717	1389.0	84.11783
L2S200.273345	926.0	59.01453
L2S157.274738	1106.0	69.65252
L2S299.274778	733.0	52.11413
L2S178.274740	1051.0	66.35659
L2S187.273503	1046.0	67.31364
L2S158.273322	1339.0	83.13563
L2S222.273793	1177.0	73.69195
L2S315.275112	683.0	50.33407
L2S137.273277	1058.0	66.91887
L2S220.274533	1301.0	78.04752
L2S162.274593	821.0	53.05149
L2S194.274054	1061.0	68.26156
L2S150.273249	1142.0	68.50382
L2S230.274079	1127.0	70.48829
