OTU	Test-Statistic	P	FDR_P	Bonferroni_P	skin/other_mean	oral_mean	gut_mean	taxonomy
denovo20239	243.373053644	1.4197532751e-53	7.97813167159e-51	2.22134597423e-49	0.486373165618	0.0	13.0714285714	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
denovo16317	243.361803094	1.42776228304e-53	7.97813167159e-51	2.23387686805e-49	0.0251572327044	1.41304347826	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae
denovo3062	237.371209607	2.85428117051e-52	1.53993390324e-49	4.46580831938e-48	0.0230607966457	0.0	3.47619047619	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis
denovo5921	236.64954313	4.09453546207e-52	2.13543672798e-49	6.40631018395e-48	0.0146750524109	1.26086956522	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula
denovo1879	236.440624699	4.54538524456e-52	2.29409992053e-49	7.11170975363e-48	0.0964360587002	4.19565217391	0.0	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__
denovo626	236.309656894	4.8529966907e-52	2.37281206946e-49	7.59299862227e-48	0.0356394129979	1.82608695652	0.0	k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__;s__
denovo7876	235.462479633	7.41262790189e-52	3.51448412585e-49	1.15977976153e-47	0.0314465408805	1.52173913043	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
denovo18704	234.362288564	1.28491871649e-51	5.91289359948e-49	2.01038382382e-47	0.0041928721174	0.95652173913	0.0	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
denovo165	234.03036267	1.51688426812e-51	6.78090607402e-49	2.37331712591e-47	0.0817610062893	2.04347826087	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella;s__
denovo14022	231.158786791	6.37539689379e-51	2.77081832778e-48	9.97494598002e-47	0.0041928721174	0.0	1.90476190476	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
