	observed_species	PD_whole_tree
L1S208.274741	561.0	43.31381
L1S122.273565	514.0	35.99857
L4S116.274550	1444.0	142.63603
L4S88.273311	751.0	86.77321
L4S8.274786	678.0	71.1317
L4S60.274173	569.0	67.18633
L2S216.273851	1348.0	132.94272
L3S199.274970	696.0	81.53786
L3S291.273654	1091.0	116.79587
L2S278.273562	773.0	82.77498
L3S5.273971	951.0	103.76431
L2S171.274467	1086.0	117.10424
L2S291.274923	753.0	86.57975
L2S102.273640	971.0	107.83086
L2S228.273850	1035.0	104.45065
L4S148.274292	627.0	74.12735
L2S227.275054	1170.0	118.2134
L4S68.275042	657.0	79.80007
L4S247.273983	1083.0	114.38266
L5S14.273824	629.0	75.29183
L4S122.274726	688.0	79.41444
L3S139.273657	716.0	79.0383
L2S361.273372	1242.0	135.46232
L2S377.274512	901.0	101.14399
L4S128.273697	832.0	89.45251
L2S299.274778	789.0	86.78001
L4S257.274976	893.0	99.45291
L4S260.274084	667.0	75.58852
L4S6.274137	944.0	99.11292
L3S236.274861	946.0	105.08344
L2S267.274489	688.0	70.9217
L1S214.274105	642.0	56.79606
L1S58.275015	492.0	36.79938
L1S249.273545	582.0	47.55636
L2S12.274348	408.0	40.65371
L4S15.275110	735.0	74.95825
L4S158.274062	613.0	70.23269
L4S123.274541	785.0	85.01743
L4S7.273295	529.0	59.23677
L2S155.273430	694.0	83.08337
L4S40.274573	609.0	60.87617
L2S358.274273	845.0	90.06455
L2S229.274131	1157.0	117.76596
L3S175.273516	520.0	60.40503
L4S121.273488	964.0	104.53975
L1S200.273384	498.0	40.25328
L5S189.273748	302.0	27.40578
L2S106.274109	722.0	78.70473
L2S145.274590	806.0	90.59155
L4S10.274622	908.0	102.29841
L4S161.275088	1081.0	112.04914
L2S112.273209	854.0	93.83446
L2S121.274618	784.0	89.68754
L2S132.274707	669.0	76.98879
L2S283.274083	592.0	67.41459
L5S99.274143	301.0	29.55384
L4S80.274159	726.0	80.85066
L4S49.274247	609.0	62.85984
L1S309.274009	506.0	50.3066
L4S186.273861	748.0	84.19351
L1S165.274417	479.0	45.77199
L1S176.274621	307.0	31.98335
L2S63.274401	441.0	42.16138
L1S220.273571	490.0	42.35986
L2S84.273312	420.0	45.38463
L2S39.273828	489.0	46.36851
L2S32.273780	393.0	37.58824
L1S248.273910	606.0	52.79951
L2S77.275174	459.0	45.46466
L2S1.273670	400.0	41.24487
L2S11.274220	452.0	45.36475
L4S95.275048	1154.0	118.22299
L2S371.274597	735.0	85.32321
L3S282.273655	989.0	111.33099
L4S201.274355	1227.0	127.84154
L1S166.274223	515.0	43.23674
L6S281.273980	294.0	29.13334
L1S178.275068	588.0	55.43407
L1S100.274845	413.0	30.0936
L3S269.273747	936.0	106.02673
L2S2.274088	531.0	55.52104
L1S101.274587	445.0	36.6537
L1S60.274493	517.0	39.73399
L1S281.274883	603.0	45.94446
L1S358.273815	464.0	40.88576
L4S279.273227	481.0	53.59346
L2S14.274730	399.0	39.65586
L2S93.273568	340.0	34.42602
L1S352.275035	485.0	42.83061
L2S78.274519	423.0	40.5595
L2S66.273772	404.0	40.54148
L1S348.273330	440.0	41.55868
L1S302.273303	465.0	43.70967
L1S156.274463	565.0	46.99477
L2S87.273805	370.0	39.52049
L2S215.274614	1045.0	106.39583
L1S264.273320	627.0	54.10053
L1S286.274014	517.0	48.31859
L2S33.275034	431.0	39.61519
