OTU	Test-Statistic	P	FDR_P	Bonferroni_P	skin/other_mean	oral_mean	gut_mean	taxonomy
denovo66	447.708122826	6.04527938526e-98	1.01844821803e-93	1.01844821803e-93	0.0041928721174	2.13043478261	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
denovo13865	349.085551781	1.57411180088e-76	1.32595307548e-72	2.65190615095e-72	0.083857442348	5.67391304348	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__
denovo16949	344.43358508	1.61137755027e-75	8.46246311235e-72	2.71468775895e-71	0.0251572327044	0.0	11.5	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
denovo6038	343.992239867	2.0092510506e-75	8.46246311235e-72	3.38498524494e-71	0.0	1.5	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula
denovo24322	337.63257406	4.83078920837e-74	1.62768611587e-70	8.13843057934e-70	0.0649895178197	5.65217391304	0.0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__
denovo22251	329.197827601	3.27793252189e-72	9.20388819938e-69	5.52233291963e-68	0.0062893081761	0.0	1.88095238095	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
denovo7241	314.674827105	4.66906045545e-69	1.1237094499e-65	7.8659661493e-65	0.289308176101	0.0	21.6428571429	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
denovo3439	307.044335937	2.11918856299e-67	4.46274621509e-64	3.57019697208e-63	0.0230607966457	0.0	3.42857142857	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis
denovo10423	306.306523552	3.06466864671e-67	5.7367191879e-64	5.16304726911e-63	0.0398322851153	0.0	6.5	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__
denovo22692	305.86188569	3.82767812493e-67	6.44848933707e-64	6.44848933707e-63	0.0503144654088	0.0	8.07142857143	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
denovo7307	305.188298413	5.36047196225e-67	8.209806468e-64	9.0307871148e-63	0.0083857442348	0.0	3.33333333333	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae
denovo20459	297.87931648	2.07170679134e-65	2.90850369281e-62	3.49020443138e-61	0.0	0.0	1.57142857143	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
