	observed_species	PD_whole_tree
M21Plmr.140842	201.0	27.14413
M21Fotr.140859	221.0	29.52696
M53Fotr.140451	295.0	35.43493
F22Plmr.140357	146.0	23.55213
F22Labi.140560	106.0	15.8205
M31Fcsw.140368	189.0	20.10059
F22Fcsp.140783	182.0	17.16469
M22Nose.140594	139.0	19.17959
M21Fcsp.140319	143.0	14.54878
F31Fcsw.140492	155.0	16.51466
F32Fcsp.140464	152.0	14.67482
M21Fcsw.140493	176.0	16.73816
F32Fcsw.140706	162.0	16.4992
F31Fcsp.140571	153.0	15.64136
M21Plml.140352	221.0	25.74961
M21Hair.140504	200.0	25.04193
M33Fcsw.140557	173.0	17.6553
M24Knee.140796	186.0	26.66797
F34Fcsw.140733	164.0	17.54937
M53Fcsw.140426	116.0	11.16255
M13Fcsw.140390	189.0	19.37335
M54Urin.140480	128.0	17.58666
M22Fcsw.140276	160.0	16.6335
M22Fcsp.140527	115.0	13.76597
M24Fcsw.140647	180.0	17.81519
F24Fcsw.140765	142.0	16.25684
F22Kner.140705	190.0	30.31943
M32Fcsw.140646	134.0	14.77856
F22Fcsw.140281	207.0	20.3508
M21Nstl.140369	213.0	24.43012
F21Aptr.140500	73.0	11.46512
M21Nstr.140593	203.0	24.02542
M11Fcsp.140589	140.0	18.88586
M23Fcsw.140821	205.0	19.92526
M22Forl.140587	216.0	27.3125
M53Fotl.140376	349.0	37.94247
F21Fcsp.140536	194.0	19.67923
F21Plml.140704	171.0	23.95311
F21Fcsw.140506	203.0	22.73604
M22Nstl.140860	180.0	21.96061
M43Fcsw.140714	189.0	18.71398
F32Labi.140727	45.0	6.82792
M41Nstl.140739	104.0	10.21867
M32Nstr.140494	113.0	18.12379
M33Knee.140298	149.0	17.27738
M43Nost.140345	95.0	12.88232
F22Aptr.140609	64.0	9.75645
M14Knee.140681	146.0	17.07176
F22Nstr.140671	71.0	10.92182
M22Nstr.140393	179.0	21.26983
M54Knee.140481	189.0	24.30249
M14Nost.140445	56.0	7.80439
M31Glns.140477	94.0	11.4091
M11Knel.140676	152.0	18.33843
M21Indl.140576	204.0	23.62995
M32Glns.140441	81.0	9.73916
F32Kner.140397	223.0	28.93757
M11Glns.140664	56.0	8.63961
F12Labi.140407	112.0	12.5761
M33Fotl.140701	80.0	13.45693
F21Nstl.140383	83.0	12.79434
F24Knee.140744	135.0	19.33024
M31Urin.140563	108.0	16.22656
M31Knel.140873	129.0	17.25017
M31Kner.140321	163.0	20.41942
M54Uric.140775	98.0	16.48909
M33Uric.140581	75.0	11.01723
M33Frhd.140580	74.0	10.8774
M34Fotl.140468	111.0	16.48178
M54Plml.140636	194.0	24.14209
M53Uric.140515	86.0	14.78424
F21Pinr.140773	29.0	4.06011
F12Urin.140382	36.0	6.9029
F22Knel.140720	172.0	25.74317
F21Knel.140372	161.0	23.2149
F11Urin.140632	35.0	7.54575
F11Forl.140437	188.0	26.65707
F21Kner.140678	109.0	17.40663
F22Indr.140640	151.0	20.63718
F11Forr.140422	238.0	32.32932
M42Urin.140778	56.0	9.82687
M23Uric.140523	52.0	9.71826
F13Uric.140806	41.0	7.66713
F13Urin.140615	34.0	6.56627
F14Uric.140596	34.0	6.88575
F23Knee.140816	148.0	20.40316
F11Pinr.140867	73.0	10.59382
F21Labi.140606	48.0	8.56546
F11Ewxr.140797	62.0	10.25432
F12Plml.140300	234.0	32.31301
F11Plml.140803	255.0	33.80136
M22Urin.140805	55.0	9.16396
M23Urin.140740	56.0	10.09796
F14Knee.140634	177.0	25.08776
M24Uric.140635	74.0	12.50344
M31Indl.140291	130.0	17.1341
M53Urin.140277	80.0	14.3945
M13Uric.140340	63.0	11.21214
M64Urin.140764	105.0	17.91132
F12Kner.140545	190.0	26.02401
M54Fotr.140667	249.0	30.18507
M31Pinl.140703	85.0	13.67088
F23Uric.140274	15.0	4.17026
M11Forl.140337	153.0	21.92431
F13Knee.140670	159.0	22.17317
F11Labi.140687	88.0	11.37982
M34Knee.140362	133.0	16.57939
M32Fotr.140562	239.0	28.59529
M31Fotr.140572	185.0	22.30014
M31Plml.140743	144.0	18.80332
M33Urin.140845	255.0	34.13229
M42Mout.140653	185.0	19.98293
M21Mout.140501	135.0	17.07709
M12Forr.140849	119.0	15.32711
M34Plml.140373	195.0	23.86744
F31Fotl.140715	210.0	30.23927
F34Fotr.140673	330.0	36.69224
F33Fotr.140629	325.0	35.78771
M54Frhd.140695	41.0	8.06971
M21Kner.140721	196.0	26.33145
F22Forl.140279	182.0	25.02395
F11Pinl.140315	145.0	24.93124
M22Fotl.140555	299.0	37.9766
F12Indr.140556	239.0	32.0467
M41Fcsp.140643	152.0	16.98894
M54Fcsw.140330	138.0	11.79399
M32Plml.140507	181.0	23.18257
M42Fcsw.140447	160.0	18.95193
M64Plmr.140356	171.0	22.61126
M41Fcsw.140359	217.0	22.32119
F33Fotl.140406	334.0	36.02041
F32Fotr.140582	126.0	20.90831
M34Fotr.140476	180.0	24.76741
M64Fotr.140624	208.0	23.9744
M64Fcsw.140360	138.0	15.92014
M21Indr.140425	186.0	21.1049
F31Indr.140675	171.0	23.75108
M63Fcsw.140818	157.0	17.36666
M44Plml.140614	194.0	24.36122
F11Fotr.140431	89.0	9.87321
F12Fotr.140597	75.0	8.16161
F12Fotl.140294	63.0	6.23241
F11Fotl.140558	77.0	10.41214
M32Frhd.140776	52.0	9.73053
M11Pinr.140546	84.0	12.45711
M32Nose.140531	35.0	5.47703
M32Fotl.140843	206.0	26.24089
M22Fotr.140381	264.0	34.57888
F12Aptl.140591	134.0	21.71595
M11Indl.140749	134.0	18.27976
F31Forr.140586	156.0	23.29515
F32Nstr.140767	88.0	13.72542
M33Plmr.140723	151.0	19.73019
F24Plmr.140433	169.0	24.00509
M63Plml.140689	122.0	17.75039
F24Ewax.140807	44.0	7.19097
M24Fotr.140398	224.0	24.88894
M23Knee.140621	178.0	21.71785
M12Indr.140762	119.0	17.12906
F32Forl.140724	118.0	16.80493
F24Plml.140452	152.0	20.11535
M43Fotl.140659	119.0	17.63372
M43Plmr.140716	238.0	28.59357
F11Aptl.140780	179.0	24.93788
M42Kner.140502	257.0	36.32624
M14Fotl.140639	75.0	10.02115
F31Forl.140333	146.0	23.42578
F31Fotr.140874	210.0	29.18558
M63Fotr.140467	277.0	31.3985
F22Nstl.140534	62.0	8.96906
M22Frhd.140287	124.0	16.26804
F31Knel.140379	110.0	17.0596
F13Plml.140601	146.0	19.42418
F12Pinr.140498	91.0	16.66476
F21Forr.140353	155.0	23.31493
F21Navl.140840	116.0	15.9918
F22Plml.140347	118.0	17.58765
F21Forl.140295	179.0	25.44195
F21Urin.140569	28.0	5.50346
F22Urin.140306	34.0	7.89681
M21Urin.140335	85.0	13.82545
F33Ewax.140872	61.0	11.06686
M53Knee.140318	215.0	24.85231
M64Uric.140672	84.0	12.91469
M54Fotl.140823	252.0	29.91786
M33Plml.140822	199.0	24.88106
M63Knee.140419	192.0	25.37563
M64Knee.140570	174.0	22.92762
M64Frhd.140834	26.0	5.42855
F21Plmr.140745	123.0	19.42937
M64Fotl.140777	335.0	36.29487
F23Plml.140585	150.0	23.28031
M32Hair.140734	57.0	8.93339
F31Frhd.140832	60.0	10.98109
M63Plmr.140815	138.0	17.64734
M41Tong.140317	116.0	12.63407
M53Tong.140327	98.0	12.10615
F21Tong.140655	140.0	15.8411
F22Mout.140788	160.0	18.64132
F22Tong.140837	142.0	16.09752
M21Tong.140323	109.0	13.37012
M23Tong.140462	89.0	11.15531
F21Mout.140380	147.0	15.65948
F12Tong.140538	88.0	10.44382
M22Tong.140364	125.0	14.37067
M42Indl.140869	179.0	23.89081
M13Tong.140491	104.0	13.14225
F13Tong.140677	104.0	12.8755
M63Tong.140865	113.0	13.73468
M43Tong.140396	105.0	11.79595
M34Tong.140540	87.0	11.60518
M22Mout.140541	128.0	14.86385
F32Tong.140410	104.0	13.57145
M64Tong.140427	88.0	13.6486
F23Tong.140417	94.0	11.90689
M42Tong.140857	115.0	13.01151
M24Tong.140439	108.0	12.4575
F31Mout.140605	130.0	14.8267
M54Tong.140619	111.0	12.09809
F14Tong.140430	82.0	9.79834
F34Tong.140848	92.0	10.4833
F24Tong.140829	121.0	14.0664
M31Tong.140808	102.0	12.62129
F11Tong.140366	97.0	12.13229
F12Mout.140450	134.0	15.35705
M11Mout.140852	172.0	19.20857
M11Tong.140453	125.0	14.47127
M12Tong.140559	108.0	12.63252
M44Tong.140642	102.0	12.45267
F31Tong.140785	131.0	16.96268
M14Urin.140599	64.0	11.57751
M33Tong.140346	101.0	12.34169
F33Tong.140358	90.0	11.18563
M14Tong.140420	97.0	11.25555
M41Mout.140367	166.0	18.98155
F32Mout.140603	169.0	18.59694
M12Mout.140350	154.0	19.17209
F11Fcsw.140616	216.0	24.15371
F14Fcsw.140752	197.0	21.86625
F12Fcsw.140400	203.0	21.11087
M54Plmr.140626	182.0	20.76809
M14Fcsw.140443	217.0	20.22537
M31Ewxl.140375	32.0	3.62688
M21Glns.140311	140.0	17.31877
F14Plmr.140786	183.0	23.74002
F31Plmr.140385	180.0	28.71091
M21Forr.140361	192.0	27.03089
M21Fotl.140499	235.0	31.32916
M24Nost.140862	100.0	12.42423
M11Plml.140620	154.0	20.3029
F33Plmr.140674	337.0	31.41059
F23Fcsw.140551	165.0	16.48948
F33Fcsw.140662	147.0	15.68675
M13Urin.140575	33.0	6.40398
M22Ewxl.140750	128.0	17.81067
M11Urin.140484	75.0	12.58938
M32Fcsp.140470	115.0	12.75619
M44Fcsw.140418	197.0	19.17478
M42Pinr.140457	43.0	7.17439
F33Plml.140709	275.0	30.96638
M44Frhd.140730	56.0	7.94044
F21Indl.140446	131.0	21.01634
M41Ewxr.140794	51.0	6.84977
F22Nose.140758	38.0	6.87774
M32Forr.140802	140.0	18.83314
M31Indr.140588	154.0	19.57387
M41Knel.140855	202.0	27.02517
F32Fotl.140455	149.0	21.79512
M34Plmr.140826	205.0	25.09812
F14Plml.140525	155.0	20.32711
M41Forl.140496	151.0	20.57193
M42Plmr.140511	203.0	27.69171
M41Forr.140728	202.0	26.78458
F12Nstl.140831	79.0	10.82753
M32Indr.140748	106.0	15.10891
M12Fotr.140278	104.0	13.90833
M24Fotl.140320	253.0	28.68078
M41Pinl.140284	67.0	9.35273
M41Ewxl.140482	51.0	5.61218
M22Pinr.140692	76.0	11.77961
F14Urin.140297	24.0	5.23555
M21Forl.140771	197.0	29.70391
M63Fotl.140731	236.0	30.86316
M22Indr.140471	201.0	24.84389
M23Fotr.140344	142.0	18.44804
F31Kner.140761	177.0	26.84667
M41Kner.140735	175.0	26.49267
M21Pinl.140313	86.0	12.6738
M24Plml.140651	157.0	19.85642
M22Plml.140625	172.0	21.82317
M22Indl.140813	214.0	25.55594
M21Pinr.140516	96.0	14.13399
F32Forr.140528	107.0	17.39766
F12Fcsp.140694	208.0	22.30221
M11Fcsw.140610	159.0	19.26812
