OTU	Test-Statistic	P	FDR_P	Bonferroni_P	acidic_mean	neutral_mean	basic/neutral_mean	acidic/neutral_mean	basic_mean	taxonomy
denovo21981	56.7257249722	1.41241955747e-11	2.4122713622e-07	2.4122713622e-07	3.64705882353	0.0588235294118	0.0	0.444444444444	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__;s__
denovo32277	54.9990706228	3.25043389569e-11	2.77570802522e-07	5.55141605045e-07	0.0	0.0588235294118	1.61111111111	0.0	9.22222222222	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas;s__
denovo8756	53.2819301587	7.43924866531e-11	4.23516426516e-07	1.27054927955e-06	0.0	0.0	1.22222222222	0.0	6.22222222222	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
denovo24626	44.0630472705	6.22520312314e-09	2.6580061035e-05	0.00010632024414	2.23529411765	0.352941176471	0.0555555555556	0.833333333333	0.0	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__
denovo21016	43.1948313216	9.42801640034e-09	3.22042184203e-05	0.000161021092101	0.0	0.0	0.0	0.0	1.22222222222	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
denovo15900	40.8206499625	2.92773487588e-08	7.62219738426e-05	0.000500027839452	0.0	3.35294117647	8.77777777778	0.5	3.77777777778	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
denovo8853	40.6844878526	3.12403429298e-08	7.62219738426e-05	0.000533553816898	3.88235294118	0.176470588235	0.0555555555556	2.88888888889	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
denovo39164	38.7061531893	8.01116532094e-08	0.000156467711763	0.00136822692516	4.82352941176	0.235294117647	0.0555555555556	1.0	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
denovo13054	38.5194519269	8.75469172012e-08	0.000156467711763	0.00149521379888	2.0	0.235294117647	0.0	0.944444444444	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__;s__
denovo7455	38.4239099359	9.16140943631e-08	0.000156467711763	0.00156467711763	1.70588235294	0.294117647059	0.111111111111	1.5	0.0555555555556	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
denovo42718	37.7590828564	1.25639355225e-07	0.000195072231626	0.00214579454789	5.17647058824	0.0588235294118	0.0	1.05555555556	0.0555555555556	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
denovo36948	37.5345928384	1.39770011095e-07	0.000198927668291	0.00238713201949	2.88235294118	0.117647058824	0.222222222222	0.888888888889	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
denovo3758	37.2586743495	1.59326236807e-07	0.000209317907572	0.00272113279843	0.0	0.0	0.444444444444	0.0	2.22222222222	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus;s__
denovo33358	36.9277703843	1.86408658399e-07	0.000217853390053	0.0031836734768	1.35294117647	0.117647058824	0.0	0.5	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
denovo24588	36.8727800903	1.91334437074e-07	0.000217853390053	0.0032678008508	6.76470588235	0.647058823529	0.0	2.61111111111	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
denovo28344	36.3688442153	2.42971057291e-07	0.000259356417968	0.00414970268748	2.88235294118	0.0	0.0	0.222222222222	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
