	observed_species	PD_whole_tree
F21Plml.140704	178.0	23.13582
F21Forr.140353	181.0	23.98916
M22Pinr.140692	111.0	13.62523
M43Knee.140412	231.0	29.70045
M12Glns.140683	60.0	8.69884
M11Glns.140664	70.0	8.935
M11Nstl.140810	63.0	7.172
M32Glns.140441	92.0	11.00219
M12Navl.140334	214.0	23.93552
M12Knel.140275	144.0	17.09391
M31Urin.140563	131.0	18.15525
M12Frhd.140766	81.0	10.99845
M31Indl.140291	152.0	17.39048
M12Fotl.140774	127.0	15.17544
M31Kner.140321	200.0	21.21334
M11Forl.140337	183.0	22.70915
M12Fotr.140278	125.0	14.69051
F11Forr.140422	259.0	33.88525
M11Knel.140676	162.0	16.89544
M32Plml.140507	191.0	23.2775
M21Forr.140361	210.0	24.70098
F31Labi.140819	51.0	8.18111
F32Kner.140397	236.0	31.57368
F32Hair.140769	55.0	10.28186
F31Nstr.140608	88.0	10.83893
M42Plmr.140511	219.0	25.38029
F32Labi.140727	50.0	6.78754
F32Plml.140737	185.0	21.67401
M22Plml.140625	234.0	22.9412
F31Knel.140379	128.0	19.76226
M34Knee.140362	158.0	15.17607
M14Knee.140681	163.0	15.75964
M41Frhd.140449	70.0	9.94752
M13Urin.140575	33.0	4.3048
M33Knee.140298	174.0	16.43358
M13Plmr.140301	182.0	19.48589
M14Frhd.140825	90.0	8.38429
F34Fotl.140856	394.0	40.28608
M14Fotr.140729	114.0	15.00751
M54Fotl.140823	292.0	33.17942
M43Plmr.140716	254.0	29.35473
M13Uric.140340	69.0	12.44232
M14Plmr.140579	132.0	12.89948
M33Frhd.140580	88.0	10.87526
M54Fotr.140667	268.0	30.4588
M13Plml.140472	137.0	17.88785
M43Plml.140405	245.0	28.17456
M24Knee.140796	197.0	24.89654
M34Plmr.140826	224.0	24.91587
F33Fotr.140629	366.0	36.66749
M24Plml.140651	178.0	19.41333
F21Labi.140606	59.0	8.32346
M54Uric.140775	119.0	19.12191
M44Urin.140414	41.0	6.00245
M63Urin.140645	39.0	7.3319
