,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,,0.9641244411994524,0.9522245408439107,0.9641251143452222,0.9634750177417021,0.9996504253513357,0.9388475448652781,0.922955917614981,0.9388519859913764,0.9355804334948389
ucr,,,0.9915431492194127,0.9999890454044432,0.9994277656144732,0.969079759551138,0.9925442913836665,0.9795881362606818,0.9925308878058119,0.9897756197144365
ucrC,,,,0.9915385962354097,0.9918184132245245,0.9576396004182683,0.9857426514351477,0.985818435579862,0.9857497216205271,0.9858128138321968
ucrss,,,,,0.9994262177678549,0.9690888867466345,0.9925504911030774,0.9795219094599611,0.9925471282852928,0.9897929317766627
ucrss_wfilter,,,,,,0.9684363084628396,0.9919338313738306,0.9798212262627918,0.9919299819188624,0.9913482938434589
uc_fast,,,,,,,0.9455315658799003,0.9297281346908656,0.9455408681692706,0.9423193052450628
ucr_fast,,,,,,,,0.9827784046176186,0.9999817794136447,0.9975244291291454
ucrC_fast,,,,,,,,,0.9827547316152204,0.9829400384219446
ucrss_fast,,,,,,,,,,0.9975191839017917
ucrss_fast_wfilter,,,,,,,,,,
