,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,,0.9999903421253746,0.997181465188648,0.9999848124928513,0.9995898247841953,0.9999798771819011,0.9999632084067259,0.997020768030005,0.999949314943443,0.9981895474333725
ucr,,,0.9971887574702216,0.9999975391532947,0.9996041915823153,0.9999865661245262,0.9999717001535198,0.9970320966181826,0.9999626071420117,0.998208667085461
ucrC,,,,0.9971831142261133,0.9974610694112332,0.9971713067341548,0.9971536608585704,0.9995181301997617,0.9971558717154019,0.9975445871198735
ucrss,,,,,0.9996035034802844,0.9999842490166665,0.9999697289890456,0.9970258475642787,0.999962499081478,0.9982089984688906
ucrss_wfilter,,,,,,0.9995831722204698,0.9995684072213552,0.9973113681509701,0.9995619559076973,0.9993948311766787
uc_fast,,,,,,,0.9999822872989438,0.9970255896198559,0.9999725757710921,0.9982102859100617
ucr_fast,,,,,,,,0.99700978446564,0.9999909832777955,0.9982281429762141
ucrC_fast,,,,,,,,,0.9970143523347686,0.9974183383999405
ucrss_fast,,,,,,,,,,0.9982224008959846
ucrss_fast_wfilter,,,,,,,,,,
