,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,,0.9999960656471525,0.9972043484019542,0.9999916105108975,0.9996144935829901,0.9999960261474306,0.9999954022824038,0.9969363832053195,0.9999830000301279,0.9982748723602246
ucr,,,0.9972057052870541,0.9999980726742964,0.9996222071208417,0.999999744870337,0.9999997962857092,0.9969384096548404,0.9999916546591999,0.9982879661654602
ucrC,,,,0.9971996928772328,0.9975334477055111,0.9971984715410418,0.9971998936548151,0.99980259800657,0.9972008742538127,0.9976889810348089
ucrss,,,,,0.9996215259461878,0.999997959168092,0.9999982812557847,0.9969324810852764,0.9999917722256477,0.9982881722399575
ucrss_wfilter,,,,,,0.9996212290691376,0.9996216533255194,0.9972711063217461,0.9996163040312214,0.9994359684117538
uc_fast,,,,,,,0.999999891824556,0.9969306642087684,0.9999912738687341,0.9982880147097933
ucr_fast,,,,,,,,0.9969320050684648,0.9999919341060027,0.9982890307540554
ucrC_fast,,,,,,,,,0.9969352772888378,0.9974259039184573
ucrss_fast,,,,,,,,,,0.9982836140727365
ucrss_fast_wfilter,,,,,,,,,,
