OTU	Test-Statistic	P	FDR_P	Bonferroni_P	skin/other_mean	oral_mean	gut_mean	taxonomy
DeNovoOTU220	407.78223527	2.82626383943e-89	5.21304365182e-85	5.21304365182e-85	0.0020964360587	2.08695652174	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
3866487	353.840114378	1.46081568975e-77	1.34723726987e-73	2.69447453975e-73	0.0817610062893	4.86956521739	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__
DeNovoOTU17585	347.708386278	3.13388650289e-76	1.92681788486e-72	5.78045365459e-72	0.0062893081761	1.4347826087	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula
4325533	336.336053278	9.23749035947e-74	4.25963774201e-70	1.7038550968e-69	0.0314465408805	0.0	10.880952381	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
4346374	332.946041752	5.03136295475e-73	1.85606979401e-69	9.28034897003e-69	0.132075471698	0.0	9.78571428571	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis
316732	325.877223017	1.72448782602e-71	5.30136299182e-68	3.18081779509e-67	0.0356394129979	0.0	5.66666666667	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__
4295238	319.157049738	4.96509107446e-70	1.30830149812e-66	9.15811048684e-66	0.0020964360587	1.17391304348	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
4326219	318.63961092	6.43113506675e-70	1.48277857883e-66	1.18622286306e-65	0.0545073375262	4.47826086957	0.0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__
4458959	309.666420929	5.71203789379e-68	1.17065043279e-64	1.05358538951e-63	0.138364779874	8.23913043478	0.261904761905	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella
4412541	300.959096463	4.44183645113e-66	8.19296733411e-63	8.19296733411e-62	0.0712788259958	0.0	3.02380952381	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii
4451251	295.862390204	5.67934519103e-65	9.52322927713e-62	1.04755522048e-60	0.0649895178197	4.08695652174	0.0	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__
4391230	287.87950516	3.07439544472e-63	4.72560199815e-60	5.67072239778e-59	0.180293501048	7.73913043478	0.047619047619	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar
4404224	281.660407294	6.89000712149e-62	9.77586010429e-59	1.27086181356e-57	0.0859538784067	4.41304347826	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__
4428929	281.061303866	9.29636842904e-62	1.22479654053e-58	1.71471515674e-57	0.0125786163522	0.0	3.28571428571	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae
4374753	279.522005694	2.00709384145e-61	2.46805639371e-58	3.70208459056e-57	0.276729559748	14.3695652174	0.404761904762	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar
4217226	274.945495733	1.9785370603e-60	2.28088225482e-57	3.64941160772e-56	0.0104821802935	0.0	3.33333333333	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella;s__
4384936	273.639353532	3.80162578655e-60	4.12476397841e-57	7.0120987633e-56	0.115303983229	2.9347826087	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae
4393962	271.556082829	1.07732279709e-59	1.10395661069e-56	1.98712189924e-55	0.0356394129979	1.91304347826	0.0238095238095	k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__;s__
530206	270.165144217	2.15965476545e-59	2.09657011309e-56	3.98348321487e-55	0.134171907757	10.5869565217	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__
