	observed_species	PD_whole_tree
F21Plml.140704	189.0	24.89141
M22Pinr.140692	107.0	13.37526
F12Aptl.140591	147.0	21.73747
M11Indl.140749	160.0	18.90245
F31Forr.140586	183.0	23.334
F32Nstr.140767	114.0	13.3719
M33Plmr.140723	172.0	21.88502
M21Plml.140352	307.0	28.2985
F24Plmr.140433	206.0	23.48062
M53Fotl.140376	380.0	38.5604
M63Plml.140689	154.0	18.61094
M12Glns.140683	65.0	9.40389
M12Knel.140275	147.0	15.67546
M11Glns.140664	59.0	6.82208
F33Fotr.140629	360.0	36.18478
M24Plml.140651	188.0	20.3296
F32Fotl.140455	153.0	21.71004
F14Fotl.140552	57.0	7.18306
F11Fcsw.140616	247.0	23.46474
F33Frhd.140757	137.0	17.29453
F33Knee.140702	236.0	28.34779
M21Glns.140311	148.0	16.25864
M21Plmr.140842	231.0	25.76932
M33Knee.140298	173.0	19.01433
M23Knee.140621	196.0	20.94254
F11Mout.140583	176.0	16.93383
M31Mout.140342	213.0	20.22128
M41Mout.140367	190.0	17.14097
F11Indr.140809	224.0	27.43098
M42Nose.140308	105.0	12.81571
M42Forr.140521	236.0	28.59276
M21Mout.140501	171.0	18.13476
M54Plmr.140626	227.0	23.48801
M31Indr.140588	175.0	18.71326
F12Indl.140710	174.0	22.50161
F12Plml.140300	275.0	32.37491
M32Mout.140657	182.0	18.3508
M31Indl.140291	154.0	16.89598
F12Indr.140556	270.0	29.66108
F22Indr.140640	162.0	21.1214
F22Knel.140720	176.0	24.29182
F21Fotl.140348	33.0	3.69328
F12Plmr.140839	289.0	32.86709
F11Forr.140422	258.0	32.95893
F12Pinl.140479	108.0	14.32401
F21Navl.140840	135.0	16.06883
M31Plmr.140505	208.0	21.43794
M12Indr.140762	149.0	18.3344
F12Nstl.140831	91.0	11.41551
M31Knel.140873	146.0	18.59596
F22Plmr.140357	159.0	23.75291
M32Nstl.140853	107.0	16.23051
F22Mout.140788	192.0	17.45036
M31Plml.140743	168.0	19.97258
M21Indr.140425	254.0	24.72558
M42Indl.140869	202.0	24.36172
F32Plmr.140529	220.0	26.74879
M42Frhd.140770	124.0	14.17207
M21Indl.140576	275.0	24.27849
M22Forl.140587	242.0	25.79089
F32Indl.140607	180.0	20.42338
F31Mout.140605	171.0	15.6846
M21Hair.140504	254.0	24.92129
F32Indr.140459	118.0	15.09841
M21Forl.140771	251.0	29.33552
F32Forl.140724	139.0	18.4185
M21Nstr.140593	259.0	25.23361
M42Indr.140519	200.0	25.54968
F32Aptl.140820	197.0	25.14424
F32Nstl.140804	128.0	17.2674
M42Plml.140513	210.0	25.08261
F32Plml.140737	204.0	24.41786
M22Mout.140541	153.0	14.0824
M21Forr.140361	231.0	25.74631
M41Urin.140696	119.0	15.40371
M22Indr.140471	242.0	26.45845
M21Nstl.140369	248.0	23.45959
M42Nstr.140784	138.0	14.3548
M42Mout.140653	212.0	20.915
F32Mout.140603	197.0	18.86916
M44Plmr.140868	209.0	21.47809
M43Plmr.140716	267.0	27.87678
F23Plmr.140435	215.0	23.64891
F31Fotr.140874	244.0	30.06643
F33Plml.140709	322.0	31.60712
F32Nose.140543	61.0	9.99771
M11Fcsp.140589	180.0	18.22531
F22Fcsw.140281	241.0	17.92404
M22Nstl.140860	266.0	22.60647
M22Indl.140813	267.0	22.11948
M41Fcsw.140359	241.0	22.16003
M21Fcsp.140319	201.0	14.86059
M22Fcsw.140276	216.0	15.28015
M42Fcsw.140447	202.0	19.2906
M53Fcsw.140426	157.0	10.67217
F34Fcsw.140733	213.0	16.4108
F32Fcsw.140706	220.0	15.55153
M63Fcsw.140818	205.0	16.14382
F33Fcsw.140662	153.0	12.85909
M54Fcsw.140330	184.0	11.24939
M43Fcsw.140714	246.0	19.44871
M13Fcsw.140390	230.0	17.97968
M14Fcsw.140443	258.0	20.01303
M44Fcsw.140418	237.0	20.39547
M11Hair.140577	71.0	10.15287
F21Indl.140446	160.0	23.70545
F21Indr.140440	151.0	19.26293
F21Plmr.140745	138.0	17.56106
M32Pinl.140666	91.0	13.75019
F11Nose.140325	72.0	10.75637
F12Mout.140450	145.0	14.72944
F12Forr.140302	226.0	26.98833
F21Forr.140353	189.0	24.46344
F21Mout.140380	183.0	16.82241
F22Kner.140705	221.0	28.07622
F21Forl.140295	223.0	27.5438
M31Fotr.140572	199.0	22.14633
M32Forl.140592	166.0	22.88072
M32Hair.140734	75.0	11.01304
M12Navl.140334	216.0	24.62281
M32Forr.140802	158.0	20.50275
F11Nstl.140539	78.0	9.12439
F22Tong.140837	155.0	15.83646
F21Aptr.140500	71.0	11.00368
F22Hair.140512	110.0	15.45541
F21Tong.140655	154.0	15.21662
F11Plml.140803	304.0	33.87774
F21Hair.140524	92.0	11.93289
M32Pinr.140389	75.0	10.34676
M11Kner.140517	191.0	21.98715
F22Plml.140347	143.0	18.28077
M11Plmr.140866	167.0	21.26543
M31Hair.140713	62.0	9.68964
F12Nstr.140310	94.0	10.44689
F22Forl.140279	198.0	24.48346
M32Plmr.140307	166.0	20.81803
M32Ewxl.140473	32.0	4.92612
F22Navl.140838	93.0	12.14728
M41Tong.140317	156.0	15.08249
M12Forr.140849	145.0	16.65666
M21Ewxr.140654	70.0	9.15985
M22Plml.140625	257.0	21.37177
M42Hair.140700	131.0	15.94042
M41Forl.140496	173.0	21.39665
M22Nose.140594	187.0	19.53094
M42Urin.140778	62.0	11.2065
M22Nstr.140393	240.0	21.55746
M21Pinl.140313	109.0	12.1784
M21Kner.140721	212.0	26.63222
M41Indl.140854	218.0	19.79293
M42Plmr.140511	233.0	28.33937
M42Tong.140857	132.0	12.92716
M41Nose.140779	73.0	8.72182
