	observed_species	PD_whole_tree
F21Plml.140704	191.0	22.75462
M22Pinr.140692	97.0	11.42936
F12Aptl.140591	148.0	20.01759
M11Indl.140749	158.0	18.06917
F31Forr.140586	188.0	24.57037
F32Nstr.140767	117.0	12.44114
M33Plmr.140723	176.0	22.32568
M21Plml.140352	295.0	25.53189
F24Plmr.140433	198.0	22.8976
M53Fotl.140376	389.0	38.64785
M63Plml.140689	148.0	15.61902
M12Glns.140683	65.0	8.20985
M12Knel.140275	150.0	15.44268
M11Glns.140664	62.0	8.12034
F33Fotr.140629	383.0	36.0319
M24Plml.140651	190.0	19.11039
F32Fotl.140455	146.0	18.9376
F14Fotl.140552	54.0	6.20077
F11Fcsw.140616	248.0	22.06606
F33Frhd.140757	132.0	16.35945
F33Knee.140702	234.0	27.60148
M21Glns.140311	168.0	17.01758
M21Plmr.140842	259.0	25.1166
M33Knee.140298	171.0	17.25562
M23Knee.140621	199.0	21.00889
F11Mout.140583	160.0	15.2395
M31Mout.140342	210.0	17.63663
M41Mout.140367	199.0	16.77542
F11Indr.140809	224.0	26.09984
M42Nose.140308	113.0	13.35791
M42Forr.140521	235.0	28.26955
M21Mout.140501	161.0	15.69916
M54Plmr.140626	201.0	20.0333
M31Indr.140588	182.0	19.03167
F12Indl.140710	164.0	19.86528
F12Plml.140300	263.0	31.46942
M32Mout.140657	175.0	15.71751
M31Indl.140291	157.0	17.28238
F12Indr.140556	261.0	29.30832
F22Indr.140640	172.0	19.90826
F22Knel.140720	187.0	22.88064
F21Fotl.140348	31.0	3.15509
F12Plmr.140839	288.0	31.30633
F11Forr.140422	258.0	31.71675
F12Pinl.140479	107.0	13.22428
F21Navl.140840	137.0	15.30775
M31Plmr.140505	222.0	21.55047
M12Indr.140762	147.0	17.09895
F12Nstl.140831	91.0	12.08653
M31Knel.140873	146.0	17.65287
F22Plmr.140357	148.0	19.83939
M32Nstl.140853	108.0	13.95562
F22Mout.140788	182.0	15.19579
M31Plml.140743	173.0	19.40191
M21Indr.140425	255.0	22.54761
M42Indl.140869	221.0	21.90642
F32Plmr.140529	212.0	23.6561
M42Frhd.140770	131.0	13.89108
M21Indl.140576	281.0	25.4728
M22Forl.140587	244.0	27.22404
F32Indl.140607	176.0	20.27798
F31Mout.140605	157.0	13.96127
M21Hair.140504	258.0	24.49982
F32Indr.140459	122.0	15.95789
M21Forl.140771	255.0	27.59028
F32Forl.140724	134.0	16.8862
M21Nstr.140593	253.0	23.10187
M42Indr.140519	189.0	22.75175
F32Aptl.140820	200.0	24.26448
F32Nstl.140804	129.0	15.57946
M42Plml.140513	222.0	23.637
F32Plml.140737	191.0	22.75714
M22Mout.140541	137.0	13.6684
M21Forr.140361	232.0	24.84359
M41Urin.140696	118.0	14.83861
M22Indr.140471	232.0	24.64719
M21Nstl.140369	274.0	24.23237
M42Nstr.140784	137.0	13.08547
M42Mout.140653	226.0	21.56579
F32Mout.140603	189.0	18.17696
M44Plmr.140868	214.0	21.22308
M43Plmr.140716	267.0	27.96104
F23Plmr.140435	217.0	22.41696
F31Fotr.140874	238.0	28.34908
F33Plml.140709	319.0	30.75653
F32Nose.140543	52.0	7.64682
M11Fcsp.140589	182.0	18.85119
F22Fcsw.140281	236.0	17.70348
M22Nstl.140860	260.0	21.86714
M22Indl.140813	260.0	24.49038
M41Fcsw.140359	269.0	21.87945
M21Fcsp.140319	194.0	13.53602
M22Fcsw.140276	212.0	15.48137
M42Fcsw.140447	211.0	17.95146
M53Fcsw.140426	163.0	11.19599
F34Fcsw.140733	200.0	14.22328
F32Fcsw.140706	215.0	15.83194
M63Fcsw.140818	207.0	16.16523
F33Fcsw.140662	173.0	13.67306
M54Fcsw.140330	172.0	10.42747
M43Fcsw.140714	238.0	16.89475
M13Fcsw.140390	233.0	17.35245
M14Fcsw.140443	246.0	19.37169
M44Fcsw.140418	244.0	18.12589
M11Hair.140577	70.0	9.02261
