OTU	Test-Statistic	P	FDR_P	Bonferroni_P	acidic_mean	neutral_mean	basic/neutral_mean	acidic/neutral_mean	basic_mean	taxonomy
766178	48.8564391614	6.25568664744e-10	5.48761841276e-06	1.09368169657e-05	1.35294117647	0.117647058824	0.0	0.666666666667	0.0	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__
1127423	48.8491385616	6.27766220072e-10	5.48761841276e-06	1.09752368255e-05	1.29411764706	0.0	0.0	0.277777777778	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
1104509	47.5022907894	1.1984058422e-09	6.98390977972e-06	2.09517293391e-05	1.70588235294	0.0	0.0	0.611111111111	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
252012	46.1001560259	2.34744162358e-09	1.02600804763e-05	4.10403219051e-05	1.64705882353	0.0	0.0	1.05555555556	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__;s__
113212	45.2097715335	3.59604195916e-09	1.25739203144e-05	6.2869601572e-05	7.58823529412	0.235294117647	0.0	0.166666666667	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
New.CleanUp.ReferenceOTU18945	44.1211936805	6.05445517285e-09	1.76416732978e-05	0.000105850039787	2.70588235294	0.176470588235	0.0	0.277777777778	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__;s__
1129210	43.0615284728	1.00480971198e-08	2.50958402779e-05	0.000175670881945	4.82352941176	0.352941176471	0.0	0.388888888889	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
78839	41.9738891952	1.68908167925e-08	3.69127687478e-05	0.000295302149983	2.35294117647	0.0588235294118	0.0	0.277777777778	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
804187	38.2526876898	9.93800697506e-08	0.000180203242393	0.00173746175945	0.0588235294118	1.29411764706	6.22222222222	0.0555555555556	1.5	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
319907	38.175888463	1.03073409822e-07	0.000180203242393	0.00180203242393	1.88235294118	0.0588235294118	0.0	0.722222222222	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
154519	37.322862149	1.54546290397e-07	0.000223106945832	0.00270193279502	1.76470588235	0.235294117647	0.0	0.777777777778	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
843189	37.306254908	1.55769113082e-07	0.000223106945832	0.00272331140401	1.0	0.176470588235	0.0	0.0555555555556	0.0	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter;s__
203969	37.173494821	1.65897746143e-07	0.000223106945832	0.00290039029581	1.23529411765	0.235294117647	0.0	0.111111111111	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
4314933	36.8996677058	1.8890996234e-07	0.000235908062256	0.00330271287159	0.882352941176	0.0588235294118	0.0	0.0555555555556	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
1123837	36.5336076677	2.24717848698e-07	0.000261916143253	0.00392874214879	0.0	0.0	0.611111111111	0.0	4.05555555556	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
113959	36.2852282566	2.52792416721e-07	0.000263987859948	0.00441956982154	0.764705882353	0.0	0.0	0.0555555555556	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus Koribacter;s__
New.CleanUp.ReferenceOTU16718	36.2529011605	2.56694710239e-07	0.000263987859948	0.00448779361911	0.823529411765	0.0	0.0	0.0	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
4399094	35.3787381211	3.88328503201e-07	0.000377174845637	0.00678914722147	0.0	0.0	0.722222222222	0.0	2.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas;s__
831520	34.9831432895	4.68253227365e-07	0.000430866903896	0.00818647117402	0.0	0.0588235294118	0.0555555555556	0.0	1.33333333333	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
255018	34.7866242564	5.13854851762e-07	0.000449186218668	0.00898372437335	0.0	0.0	0.333333333333	0.0	2.05555555556	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
792450	34.6669613073	5.43763340016e-07	0.00045269592731	0.0095066144735	1.58823529412	0.176470588235	0.0	0.888888888889	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
154494	34.4085231373	6.14408482016e-07	0.000488259249595	0.0107417034911	5.05882352941	0.411764705882	0.0	1.55555555556	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
4478794	33.9048114976	7.79446629932e-07	0.000564962229849	0.0136270654311	1.35294117647	0.117647058824	0.0	0.111111111111	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
New.CleanUp.ReferenceOTU35195	33.7745636735	8.28878803627e-07	0.000564962229849	0.0144912881238	0.0	0.0	0.0	0.0	0.888888888889	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
1051693	33.7578098241	8.3545997899e-07	0.000564962229849	0.0146063468127	0.0	0.0	0.0	0.0	0.666666666667	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__;s__
511572	33.7458529617	8.40188639025e-07	0.000564962229849	0.0146890179761	0.0	0.0	0.0	0.0	1.11111111111	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
New.ReferenceOTU37	33.0373245893	1.17364582413e-06	0.000759957405308	0.0205188499433	2.17647058824	0.176470588235	0.0	0.333333333333	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
3616127	32.4561594649	1.54337475902e-06	0.000963672175427	0.026982820912	1.64705882353	0.411764705882	0.0	0.888888888889	0.0	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__
211037	32.1553518942	1.77820907697e-06	0.0010720148032	0.0310884292927	1.05882352941	0.0588235294118	0.0	0.722222222222	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
820182	31.8836143749	2.02078840692e-06	0.00117764812394	0.0353294437182	0.588235294118	0.0	0.0	0.222222222222	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
279138	31.6306235123	2.27615743844e-06	0.00128367937085	0.0397940604963	2.58823529412	1.17647058824	0.111111111111	2.66666666667	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__;s__
850823	31.3540113201	2.59227472362e-06	0.00141627309353	0.045320738993	2.76470588235	0.0588235294118	0.0	0.611111111111	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
112795	31.1040010414	2.91542908862e-06	0.00152491103239	0.0509704467563	1.70588235294	0.294117647059	0.111111111111	0.611111111111	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__;s__
1142972	31.0677058311	2.9655651262e-06	0.00152491103239	0.0518469751014	0.0	0.0	0.111111111111	0.0	1.61111111111	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
114022	30.5178313313	3.83909363801e-06	0.00191768211638	0.0671188740733	0.823529411765	0.0	0.0	0.166666666667	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
2578357	30.3294792487	4.19378319603e-06	0.00203666421156	0.0733199116161	0.647058823529	0.0	0.0	0.166666666667	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
1121144	30.2533983951	4.34613782378e-06	0.00205360885333	0.0759835275732	1.29411764706	0.117647058824	0.0555555555556	0.611111111111	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__;s__
4362556	30.0802632164	4.71369809049e-06	0.00216867325568	0.082409583716	0.0	0.0	0.5	0.0	2.22222222222	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas;s__
4681	29.793716921	5.39123025234e-06	0.00236482811096	0.0942548785017	1.70588235294	0.294117647059	0.0	0.444444444444	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
4466061	29.7860715112	5.41057738594e-06	0.00236482811096	0.0945931244383	0.0	0.0	0.222222222222	0.0	1.05555555556	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
156065	29.5113076711	6.15371519984e-06	0.00262403421558	0.107585402839	1.17647058824	0.176470588235	0.0	0.388888888889	0.0	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__
512006	29.2609044798	6.91905635991e-06	0.00287546912684	0.12096586234	1.58823529412	0.176470588235	0.0	0.777777777778	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__
New.CleanUp.ReferenceOTU26960	29.2140921409	7.07230866866e-06	0.00287546912684	0.123645172454	0.0	0.0	0.0	0.0	0.444444444444	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__
3243803	28.4973218271	9.88819216472e-06	0.00392898326399	0.172875263616	0.764705882353	0.117647058824	0.0	0.111111111111	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
1139779	28.3042019662	1.08216502035e-05	0.00420433134463	0.189194910508	0.0	0.0	0.277777777778	0.0	1.05555555556	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
1147699	28.1493910348	1.16328452623e-05	0.00442123986349	0.20337703372	1.52941176471	0.117647058824	0.0	0.944444444444	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
New.CleanUp.ReferenceOTU40088	27.0922887292	1.90428586971e-05	0.00708353826811	0.332926298601	0.882352941176	0.117647058824	0.0	0.0555555555556	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
4341561	26.7023282411	2.28323296735e-05	0.00831620041002	0.399177619681	2.23529411765	0.176470588235	0.0	0.611111111111	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
New.CleanUp.ReferenceOTU37554	26.5573578269	2.44248018207e-05	0.00841594761512	0.427018810231	0.705882352941	0.0	0.0	0.0	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
4344611	26.5475580638	2.45363513387e-05	0.00841594761512	0.428969030455	0.705882352941	0.0	0.0	0.0	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
New.CleanUp.ReferenceOTU34975	26.5463336019	2.45503247939e-05	0.00841594761512	0.429213328371	0.882352941176	0.0	0.0	0.0	0.0	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__
92573	25.9806858599	3.19296462871e-05	0.0107351155007	0.558226006038	1.70588235294	2.47058823529	1.72222222222	3.83333333333	0.0555555555556	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
154567	25.5349785234	3.92649105386e-05	0.0128299321565	0.686468430946	0.0	0.0588235294118	0.111111111111	0.0	1.55555555556	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus;s__
4450823	25.5151266689	3.96280007121e-05	0.0128299321565	0.69281633645	0.882352941176	0.0588235294118	0.0	0.5	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
151320	25.4282832175	4.12559969928e-05	0.0131141562805	0.721278595425	0.0	1.76470588235	0.833333333333	0.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__
1143247	25.1180674377	4.7633193441e-05	0.0148709128737	0.832771120929	0.0	0.0588235294118	0.388888888889	0.0	2.22222222222	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
New.CleanUp.ReferenceOTU36183	24.9175638029	5.22667534147e-05	0.0160312219289	0.913779649948	0.0	0.0	0.0555555555556	0.0	0.944444444444	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
New.CleanUp.ReferenceOTU23640	24.7389558233	5.67699415409e-05	0.0166733230158	0.992508887959	0.0	0.0	0.0	0.0	0.722222222222	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
4425841	24.7275411803	5.70704988722e-05	0.0166733230158	0.997763531782	0.0	0.0	0.0	0.0	0.555555555556	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
4403247	24.7218378079	5.72212652835e-05	0.0166733230158	1.0	0.0	0.0	0.0	0.0	0.777777777778	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
New.CleanUp.ReferenceOTU23116	24.483697979	6.38823915611e-05	0.0183091123223	1.0	0.0	0.0	0.555555555556	0.0	0.666666666667	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__;s__
209803	23.9817691626	8.05496610884e-05	0.0227137052389	1.0	1.41176470588	0.117647058824	0.0	2.11111111111	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
4360767	23.922066165	8.27997362807e-05	0.022834453105	1.0	0.117647058824	0.0	0.166666666667	0.0	0.666666666667	k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__
156636	23.9014775893	8.35900588411e-05	0.022834453105	1.0	0.705882352941	0.0	0.0	0.111111111111	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__
825937	23.6860268318	9.23233512537e-05	0.0248321407687	1.0	0.0	0.0	0.333333333333	0.0	1.22222222222	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
