	observed_species	PD_whole_tree
SF1.141728	323.0	55.26587
CO2.141657	296.0	46.55549
CA2.141685	339.0	61.89806
MD5.141688	247.0	38.67245
BP1.141702	308.0	58.68495
CA1.141704	327.0	61.0791
SB1.141730	315.0	53.90388
GB1.141665	352.0	58.85054
SA2.141687	334.0	56.73284
SV2.141666	328.0	48.63091
SV1.141649	306.0	48.94841
CL1.141697	323.0	53.27366
VC2.141694	329.0	58.32237
MT1.141719	331.0	59.8919
IE2.141655	327.0	57.62617
SA1.141670	347.0	60.2037
CC1.141721	352.0	65.70096
SR2.141673	339.0	55.16928
MD3.141707	286.0	47.48783
CO3.141651	314.0	50.23454
MD2.141689	316.0	48.92382
GB2.141732	341.0	56.06729
SR1.141680	353.0	59.74347
SR3.141674	350.0	57.93669
CR1.141682	315.0	52.40639
GB5.141668	292.0	49.94559
GB3.141652	296.0	49.67719
KP4.141733	342.0	59.64905
IT1.141711	317.0	56.81486
KP1.141713	329.0	54.56396
BF2.141708	288.0	40.24529
AR2.141703	304.0	50.73744
PE2.141725	306.0	41.60985
PE5.141692	279.0	35.2143
MT2.141698	327.0	57.25114
SN1.141681	277.0	44.35878
KP3.141658	311.0	48.76328
DF2.141726	344.0	58.06464
SP1.141656	354.0	60.40067
IT2.141720	309.0	52.28148
HI3.141676	293.0	47.5476
CL2.141671	352.0	62.24045
PE3.141731	273.0	37.02155
PE1.141715	324.0	46.31773
SK3.141716	326.0	57.95418
BB2.141659	263.0	40.83838
CF2.141679	254.0	35.43525
CF1.141675	311.0	45.81381
BF1.141647	318.0	46.77471
PE4.141683	294.0	39.71621
BZ1.141724	308.0	56.84414
PE6.141700	310.0	45.2338
TL2.141706	313.0	60.92744
MP2.141695	271.0	41.19441
HJ1.141718	271.0	42.14431
AR3.141705	309.0	50.96722
HI4.141735	278.0	48.76069
IE1.141648	332.0	56.81061
SF2.141677	309.0	52.1842
JT1.141699	316.0	41.12962
MD4.141660	269.0	39.75011
PE7.141734	346.0	60.2208
RT2.141710	311.0	53.86349
CL4.141667	334.0	57.53251
CM1.141723	310.0	50.06946
CO1.141714	334.0	59.06576
SN3.141650	348.0	58.41285
CL3.141664	353.0	61.64497
SK2.141662	311.0	52.98084
MP1.141661	292.0	42.52499
LQ3.141712	284.0	37.86705
HF1.141663	277.0	40.4142
HF2.141686	250.0	34.38562
HI1.141693	226.0	34.63787
HI2.141672	293.0	42.5766
DF1.141684	324.0	53.75652
TL3.141709	271.0	41.81465
SP2.141678	323.0	55.0011
CF3.141691	217.0	25.94212
HJ2.141717	309.0	54.54202
DF3.141696	307.0	48.70919
VC1.141722	312.0	55.57734
SK1.141669	238.0	38.77359
AR1.141727	319.0	52.86057
TL1.141653	234.0	40.13328
LQ2.141729	276.0	39.80538
LQ1.141701	341.0	53.94806
RT1.141654	318.0	50.41056
