	observed_species	PD_whole_tree
L2S143.273631	1350.0	120.77429
L2S324.274843	949.0	86.89278
L2S371.274597	898.0	88.22698
L2S174.274862	868.0	86.90734
L2S164.274096	1047.0	104.79181
L2S308.274146	864.0	86.01884
L2S197.275032	1440.0	138.70107
L2S228.273850	1234.0	109.76239
L2S134.275076	1381.0	122.75788
L2S214.275121	1411.0	125.65538
L2S212.274232	1300.0	118.98594
L2S345.273609	977.0	98.72177
L2S199.273944	1341.0	127.5129
L2S334.273744	951.0	100.4471
L2S367.275059	747.0	79.6992
L2S203.273915	1204.0	112.73911
L2S378.273921	1010.0	98.6222
L2S273.274755	939.0	90.42429
L2S193.274142	1147.0	111.40692
L2S166.274382	1338.0	115.12892
L2S173.273804	1385.0	126.61679
L2S285.274068	764.0	73.38377
L2S341.273465	1152.0	111.27515
L2S364.275173	940.0	91.95524
L2S216.273851	1691.0	141.69656
L2S159.273882	1021.0	99.77744
L2S229.274131	1483.0	127.14374
L2S167.274135	1112.0	104.87924
L2S224.275168	1553.0	135.11705
L2S294.273818	811.0	81.0922
L2S155.273430	855.0	82.1855
L2S335.273456	1043.0	95.75575
L2S227.275054	1484.0	128.63566
L2S361.273372	1477.0	136.58096
L2S370.273996	1359.0	123.50132
L2S376.273627	546.0	48.06533
L2S176.274685	1633.0	141.28943
L2S365.274608	1444.0	136.05111
L2S331.274731	435.0	44.38507
L2S201.273251	1487.0	136.32783
L2S156.274830	1365.0	125.44317
L2S165.273826	1738.0	142.02604
L2S219.273918	1128.0	104.04838
L2S355.274178	1531.0	127.6265
L2S108.274917	1283.0	118.22479
L2S126.273811	848.0	88.16071
L2S185.274170	1431.0	127.10955
L2S207.274643	1912.0	160.69723
L2S215.274614	1298.0	115.49712
L2S289.275164	989.0	96.4552
L2S218.274421	1041.0	98.0962
L2S179.274237	1004.0	99.52009
L2S154.273597	930.0	90.36492
L2S211.274302	1369.0	127.85907
L2S113.273234	1109.0	98.96872
L2S98.274156	1405.0	123.14532
L2S293.274140	868.0	87.92225
L2S100.273994	918.0	91.85423
L2S217.274124	1476.0	125.47196
L2S127.273578	958.0	92.97168
L2S103.274678	1381.0	120.86205
L2S151.274704	1165.0	109.66949
L2S377.274512	1085.0	103.71114
L2S330.275005	924.0	89.04453
L2S372.275084	1289.0	114.77287
L2S347.275157	1063.0	105.11765
L2S296.273441	749.0	76.20484
L2S210.273444	1725.0	150.9392
L2S311.274660	693.0	72.6823
L2S265.273653	791.0	80.55669
L2S198.273998	1245.0	119.70854
L2S208.274717	1742.0	144.1275
L2S200.273345	1228.0	115.30454
L2S157.274738	1291.0	118.49033
L2S299.274778	896.0	88.91848
L2S178.274740	1254.0	121.08424
L2S187.273503	1294.0	117.47946
L2S158.273322	1601.0	144.56854
L2S222.273793	1403.0	129.91697
L2S315.275112	843.0	86.95505
L2S137.273277	1357.0	122.30551
L2S220.274533	1647.0	137.31406
L2S162.274593	1000.0	96.10342
L2S194.274054	1348.0	125.87118
L2S150.273249	1365.0	121.53007
L2S230.274079	1354.0	124.66247
L2S357.274102	716.0	72.08529
L2S125.274921	1258.0	117.65302
L2S190.273784	1165.0	109.85474
L2S152.273834	1218.0	110.80186
L2S115.273884	1423.0	126.91265
L2S124.273871	1252.0	113.29895
L2S209.275051	1645.0	145.15331
L2S226.273622	1440.0	131.00598
L2S313.274461	640.0	65.32424
L2S116.274289	952.0	93.40282
L2S374.274430	618.0	62.87043
L2S170.274497	1469.0	135.09487
L2S140.275066	1152.0	106.72057
L2S213.273541	888.0	83.03485
L2S279.273856	823.0	82.38077
L2S172.273405	1337.0	120.95742
L2S123.273268	1302.0	117.47104
L2S120.274680	988.0	93.17379
L2S379.273801	459.0	41.70954
L2S181.275050	820.0	83.34794
L2S111.273340	1093.0	101.9186
L2S188.274490	1344.0	119.30485
L2S171.274467	1404.0	127.34567
L2S260.273463	876.0	83.25036
L2S380.274540	1135.0	112.14317
L2S336.273961	851.0	84.64585
L2S253.274272	933.0	86.51603
L2S189.274133	1374.0	124.68405
L2S290.274503	783.0	85.15116
L2S362.273633	1720.0	146.46852
L2S358.274273	1047.0	99.90836
L2S135.274833	1151.0	107.57585
L2S246.273825	921.0	83.73501
L2S307.273507	561.0	63.99908
L2S274.274264	760.0	76.27798
L2S169.274366	916.0	88.86257
L2S110.274511	1222.0	105.43894
L2S280.274825	614.0	69.29819
L3S348.275040	1661.0	142.58239
L3S354.274774	907.0	87.95159
L3S366.274441	1174.0	108.56575
L3S349.273342	1286.0	121.94327
L3S13.274353	1416.0	124.02728
L3S49.274309	1233.0	115.78246
L3S352.273402	1359.0	123.32678
L3S14.273678	1058.0	103.00462
L4S143.274451	1203.0	112.91934
L3S236.274861	1138.0	108.68691
L3S316.273550	898.0	91.7385
L3S283.274703	756.0	81.8559
L3S272.273223	1261.0	113.50964
L3S345.275161	1818.0	158.83139
L4S163.274482	842.0	84.40543
L4S266.274150	845.0	81.81419
L4S113.274623	1254.0	112.59006
L2S350.274395	883.0	89.11591
L3S18.274069	670.0	66.97389
L3S60.273457	1465.0	125.76621
L3S298.274359	1001.0	105.10194
L3S323.273475	1180.0	112.70075
L3S292.273460	1297.0	121.12692
L3S277.274737	1170.0	103.87828
L3S351.274147	1036.0	103.31118
L3S5.273971	1244.0	113.49476
