OTU	Test-Statistic	P	FDR_P	Bonferroni_P	skin/other_mean	oral_mean	gut_mean	taxonomy
New.CleanUp.ReferenceOTU221	407.828011372	2.76231084066e-89	5.06221084659e-85	5.06221084659e-85	0.0020964360587	1.95652173913	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
New.CleanUp.ReferenceOTU17486	398.482281042	2.95577998191e-87	2.70838119743e-83	5.41676239485e-83	0.0062893081761	1.54347826087	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula
4326219	339.981171052	1.49288629294e-74	9.1195447348e-71	2.73586342044e-70	0.0503144654088	4.32608695652	0.0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__
4325533	336.453751106	8.70956048543e-74	3.9902851364e-70	1.59611405456e-69	0.0293501048218	0.0	10.5476190476	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
3866487	329.187056025	3.29563439812e-72	1.2079159196e-68	6.03957959799e-68	0.0796645702306	4.63043478261	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__
4346374	323.521647803	5.59972618519e-71	1.7103430345e-67	1.0262058207e-66	0.125786163522	0.0	8.59523809524	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis
4428929	321.731983814	1.37021080826e-70	3.58721189603e-67	2.51104832722e-66	0.0104821802935	0.0217391304348	2.97619047619	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae
4458959	316.514062168	1.86142129418e-69	4.26405082964e-66	3.41124066371e-65	0.11320754717	8.13043478261	0.238095238095	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella
4391230	314.337858523	5.5258780338e-69	1.12519156497e-65	1.01267240847e-64	0.171907756813	7.67391304348	0.0238095238095	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar
526682	308.570482968	9.88031940515e-68	1.81066733419e-64	1.81066733419e-63	0.0230607966457	1.5	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
4295238	306.760614773	2.44218674337e-67	4.06868311446e-64	4.4755514259e-63	0.0	1.0652173913	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
