	observed_species	PD_whole_tree
SF1.141728	330.0	54.97938
CO2.141657	317.0	55.06056
CA2.141685	337.0	59.80501
MD5.141688	252.0	36.45907
BP1.141702	326.0	59.72248
CA1.141704	336.0	55.76867
SB1.141730	322.0	53.69597
GB1.141665	335.0	51.60837
SA2.141687	334.0	56.0931
SV2.141666	324.0	49.29468
SV1.141649	322.0	47.57505
CL1.141697	334.0	54.09565
VC2.141694	331.0	58.45754
MT1.141719	349.0	59.12876
IE2.141655	342.0	58.92808
SA1.141670	342.0	56.47772
CC1.141721	367.0	66.66102
SR2.141673	330.0	53.80208
MD3.141707	300.0	48.43156
CO3.141651	323.0	54.99524
MD2.141689	319.0	46.50794
GB2.141732	337.0	57.02754
SR1.141680	355.0	61.27152
SR3.141674	361.0	56.7006
CR1.141682	324.0	54.76975
GB5.141668	290.0	45.65709
GB3.141652	292.0	46.87264
KP4.141733	340.0	58.08738
IT1.141711	330.0	61.0998
KP1.141713	321.0	52.23346
BF2.141708	292.0	39.73735
AR2.141703	329.0	58.88661
PE2.141725	309.0	42.71787
PE5.141692	284.0	36.72687
MT2.141698	321.0	51.20957
SN1.141681	279.0	46.5825
KP3.141658	309.0	48.04198
DF2.141726	341.0	58.66473
SP1.141656	359.0	58.05342
IT2.141720	326.0	52.86651
HI3.141676	297.0	50.50842
CL2.141671	350.0	57.70026
PE3.141731	287.0	40.08376
PE1.141715	302.0	45.41885
SK3.141716	318.0	55.63612
BB2.141659	264.0	42.9402
CF2.141679	254.0	32.63679
CF1.141675	297.0	42.93466
BF1.141647	310.0	44.99652
PE4.141683	294.0	37.62186
BZ1.141724	297.0	50.53727
PE6.141700	312.0	44.12292
TL2.141706	312.0	58.03338
MP2.141695	269.0	40.78794
HJ1.141718	266.0	44.38261
AR3.141705	312.0	52.94306
HI4.141735	288.0	45.29148
IE1.141648	336.0	63.51301
SF2.141677	322.0	50.04993
JT1.141699	303.0	41.30797
MD4.141660	275.0	39.71044
PE7.141734	353.0	63.42558
RT2.141710	325.0	52.28602
CL4.141667	338.0	54.97794
CM1.141723	303.0	49.06375
CO1.141714	334.0	54.25417
SN3.141650	332.0	52.68529
CL3.141664	336.0	56.16759
SK2.141662	329.0	57.1429
MP1.141661	298.0	46.22431
LQ3.141712	270.0	34.44188
HF1.141663	268.0	39.67109
HF2.141686	255.0	35.35521
HI1.141693	237.0	34.30839
HI2.141672	303.0	41.12911
DF1.141684	329.0	54.65786
TL3.141709	273.0	43.69069
SP2.141678	317.0	55.38059
CF3.141691	218.0	28.03253
HJ2.141717	319.0	54.46249
DF3.141696	305.0	44.73073
VC1.141722	322.0	55.28508
SK1.141669	216.0	34.88242
AR1.141727	319.0	52.70897
TL1.141653	248.0	42.84048
LQ2.141729	271.0	40.29427
LQ1.141701	348.0	53.15162
RT1.141654	311.0	46.80208
