,uc,uc_fast,ucr,ucr_fast,ucrC,ucrC_fast,ucrss,ucrss_fast,ucrss_fast_wfilter,ucrss_wfilter
uc,1.0,0.984090333995,0.985137248524,0.985665070905,0.957039906801,0.961456254568,0.984981293398,0.982975345403,0.984321287766,0.984774714924
uc_fast,0.984090333995,1.0,0.987748429139,0.986203535122,0.958509814308,0.960892832638,0.987546125572,0.986490031129,0.985077458473,0.985184642823
ucr,0.985137248524,0.987748429139,1.0,0.987070284678,0.955564413012,0.95991023339,0.98994988708,0.98749638412,0.985933166104,0.988868425639
ucr_fast,0.985665070905,0.986203535122,0.987070284678,1.0,0.960639651961,0.964923990076,0.989637572854,0.987976591156,0.988787599241,0.988750484354
ucrC,0.957039906801,0.958509814308,0.955564413012,0.960639651961,1.0,0.990411087867,0.961396786792,0.952869426825,0.961032682601,0.958381400931
ucrC_fast,0.961456254568,0.960892832638,0.95991023339,0.964923990076,0.990411087867,1.0,0.964491815239,0.957053888757,0.965235970313,0.963319539561
ucrss,0.984981293398,0.987546125572,0.98994988708,0.989637572854,0.961396786792,0.964491815239,1.0,0.989252569961,0.987182279447,0.99086481034
ucrss_fast,0.982975345403,0.986490031129,0.98749638412,0.987976591156,0.952869426825,0.957053888757,0.989252569961,1.0,0.98622259926,0.987430723534
ucrss_fast_wfilter,0.984321287766,0.985077458473,0.985933166104,0.988787599241,0.961032682601,0.965235970313,0.987182279447,0.98622259926,1.0,0.984911769835
ucrss_wfilter,0.984774714924,0.985184642823,0.988868425639,0.988750484354,0.958381400931,0.963319539561,0.99086481034,0.987430723534,0.984911769835,1.0
