	observed_species	PD_whole_tree
L2S312.275026	891.0	91.13672
L2S143.273631	1352.0	119.82784
L2S324.274843	926.0	85.73527
L2S371.274597	829.0	80.27797
L2S174.274862	819.0	78.92132
L2S164.274096	936.0	94.14484
L2S308.274146	847.0	82.30465
L2S197.275032	1384.0	131.50332
L2S228.273850	1182.0	104.46971
L2S134.275076	1310.0	119.91834
L2S214.275121	1371.0	118.21979
L2S212.274232	1295.0	116.36354
L2S345.273609	972.0	94.65805
L2S199.273944	1270.0	117.50204
L2S334.273744	905.0	89.86508
L2S367.275059	697.0	70.47586
L2S203.273915	1159.0	104.98613
L2S378.273921	965.0	92.50516
L2S273.274755	882.0	82.53012
L2S193.274142	1153.0	113.5054
L2S166.274382	1296.0	114.99119
L2S173.273804	1336.0	123.75732
L2S285.274068	753.0	73.76419
L2S341.273465	1104.0	102.98946
L2S364.275173	918.0	84.74396
L2S216.273851	1611.0	133.14189
L2S159.273882	966.0	96.49776
L2S229.274131	1410.0	120.30922
L2S167.274135	1079.0	101.31995
L2S224.275168	1548.0	135.16555
L2S294.273818	796.0	77.78622
L2S155.273430	832.0	80.02903
L2S335.273456	994.0	91.50512
L2S227.275054	1372.0	119.03866
L2S361.273372	1400.0	132.02295
L2S370.273996	1323.0	119.51567
L2S376.273627	543.0	50.44855
L2S176.274685	1597.0	133.99181
L2S365.274608	1388.0	128.24884
L2S331.274731	421.0	42.90218
L2S201.273251	1419.0	129.32592
L2S156.274830	1295.0	121.93115
L2S165.273826	1705.0	139.36295
L2S219.273918	1104.0	99.5032
L2S355.274178	1405.0	115.3368
L2S108.274917	1240.0	113.10425
L2S126.273811	796.0	83.18741
L2S185.274170	1357.0	125.03965
L2S207.274643	1808.0	155.12507
L2S215.274614	1252.0	110.78735
L2S289.275164	960.0	93.91774
L2S218.274421	1039.0	96.62412
L2S179.274237	930.0	93.22805
L2S154.273597	923.0	88.08688
L2S211.274302	1299.0	122.80531
L2S113.273234	1100.0	100.32055
L2S98.274156	1307.0	117.86439
L2S293.274140	833.0	78.60059
L2S100.273994	905.0	85.9362
L2S217.274124	1407.0	121.94356
L2S127.273578	989.0	89.58036
L2S103.274678	1358.0	115.05265
L2S151.274704	1167.0	105.15752
L2S377.274512	1060.0	94.93745
L2S330.275005	894.0	84.55858
L2S372.275084	1244.0	112.16473
L2S347.275157	1047.0	99.53619
