	observed_species	PD_whole_tree
SF1.141728	236.0	22.57794
CO2.141657	220.0	18.96302
BP1.141702	234.0	22.38643
CA1.141704	242.0	20.31652
SB1.141730	241.0	21.88086
SA2.141687	264.0	24.61001
SV1.141649	210.0	17.86386
SV2.141666	232.0	21.14134
VC2.141694	255.0	23.71234
MT1.141719	262.0	23.30237
CC1.141721	284.0	26.03035
CA2.141685	267.0	22.97547
SR2.141673	246.0	21.11776
MD3.141707	174.0	16.82697
CO3.141651	232.0	19.95321
MD2.141689	213.0	17.67744
GB2.141732	271.0	23.70127
SR1.141680	272.0	21.61322
SF2.141677	216.0	21.23875
CR1.141682	238.0	20.32
IE2.141655	272.0	24.3844
GB5.141668	205.0	17.54957
GB1.141665	243.0	20.52487
IT1.141711	268.0	24.39866
KP1.141713	279.0	23.94058
SK3.141716	234.0	20.84765
HJ1.141718	160.0	14.31954
MT2.141698	242.0	21.05592
SN1.141681	162.0	13.16017
CL3.141664	267.0	22.92314
KP3.141658	224.0	20.69842
IT2.141720	245.0	21.61125
HI3.141676	226.0	20.33269
CL4.141667	245.0	22.07454
DF2.141726	273.0	23.99705
SP1.141656	270.0	23.71675
CL2.141671	274.0	23.59659
CF3.141691	123.0	9.18568
BF2.141708	181.0	14.04687
PE1.141715	182.0	13.84224
CF2.141679	140.0	9.19906
SP2.141678	222.0	19.36693
PE3.141731	181.0	11.76466
BZ1.141724	193.0	17.13546
BB2.141659	164.0	13.33387
CF1.141675	193.0	14.65886
BF1.141647	198.0	13.25468
PE6.141700	172.0	12.97427
TL2.141706	232.0	22.5817
CL1.141697	247.0	20.22311
MP2.141695	163.0	14.02801
GB3.141652	205.0	18.34542
CO1.141714	259.0	22.43878
MD5.141688	154.0	13.74434
JT1.141699	198.0	16.14512
SR3.141674	271.0	23.77781
CM1.141723	219.0	19.51613
IE1.141648	256.0	23.48411
SA1.141670	266.0	22.15952
SN3.141650	240.0	20.54212
SK2.141662	237.0	22.21766
MP1.141661	182.0	15.38424
LQ3.141712	172.0	12.44978
PE5.141692	158.0	11.37334
HF1.141663	169.0	12.22811
HF2.141686	155.0	11.1831
PE2.141725	167.0	12.97964
HI2.141672	219.0	17.93494
KP4.141733	281.0	26.12235
DF1.141684	239.0	20.19565
TL3.141709	152.0	13.5859
PE4.141683	181.0	10.50836
HJ2.141717	240.0	22.67412
AR3.141705	235.0	20.23598
DF3.141696	215.0	16.85095
VC1.141722	256.0	21.68243
SK1.141669	151.0	14.06514
RT2.141710	247.0	23.02541
AR1.141727	223.0	19.17394
TL1.141653	122.0	12.63146
AR2.141703	224.0	21.33445
LQ2.141729	153.0	12.32992
LQ1.141701	217.0	19.31029
PE7.141734	239.0	20.36548
RT1.141654	240.0	22.16887
HI4.141735	185.0	14.40546
