,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,,0.9999952286813589,0.9637711150434128,0.9999925486062641,0.9999935601712993,0.9999911343375713,0.9999869025678723,0.9605879008563266,0.9999869380572421,0.9999856394638333
ucr,,,0.9637394504478662,0.9999975931068029,0.9999982256102564,0.9999901232298671,0.999990742018175,0.960563605079803,0.999990912829632,0.9999894630502799
ucrC,,,,0.9637166657884122,0.9637361876984321,0.9637126635977175,0.9637334212062131,0.9981587949184484,0.9637236933344524,0.9637463280059992
ucrss,,,,,0.9999956130492693,0.9999876475958146,0.9999880960650286,0.9605417716992566,0.9999882680626875,0.999986816619128
ucrss_wfilter,,,,,,0.999988389178097,0.9999884073569533,0.9605603650075687,0.9999887461312308,0.9999875113705453
uc_fast,,,,,,,0.9999937285933814,0.9605183949683023,0.9999939708077968,0.9999929856705961
ucr_fast,,,,,,,,0.9605444946731456,0.9999997003875716,0.9999988841657026
ucrC_fast,,,,,,,,,0.960534894435967,0.9605577223453843
ucrss_fast,,,,,,,,,,0.9999985002682097
ucrss_fast_wfilter,,,,,,,,,,
