,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,,0.9996463672055066,0.9548735922092653,0.999641952711593,0.999643956192142,0.9999775902742757,0.9992842663592704,0.949747839868649,0.9992852989466731,0.9992838427696098
ucr,,,0.9540611847503894,0.9999958905706261,0.999997766552283,0.9996692622444685,0.9998379267591551,0.9497688645056972,0.999838473022613,0.999836357676684
ucrC,,,,0.9540431499619925,0.954060015239933,0.9548054811924616,0.9533708390051764,0.9941591571032057,0.953357480084557,0.9533697869212289
ucrss,,,,,0.9999934006446294,0.9996663221196457,0.9998338924517572,0.9497533283983184,0.9998344427764897,0.999832315971629
ucrss_wfilter,,,,,,0.9996668151042546,0.9998351201492935,0.9497668473451362,0.9998358780387163,0.9998340392075351
uc_fast,,,,,,,0.9993350394204729,0.9497070259308424,0.999336158845447,0.9993348756648402
ucr_fast,,,,,,,,0.9495828982992686,0.9999991953403122,0.9999983696980225
ucrC_fast,,,,,,,,,0.9495701260553749,0.9495822059055455
ucrss_fast,,,,,,,,,,0.9999974602208265
ucrss_fast_wfilter,,,,,,,,,,
