,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,,0.9999983044983126,0.9831806546992748,0.9999972394479513,0.9999975740380861,0.9999964679217354,0.9999955819349036,0.9813202873482422,0.9999956826632592,0.9999951734977871
ucr,,,0.9831601454138982,0.9999990241941049,0.999999241159631,0.9999963638372427,0.9999968615353468,0.9813021834962843,0.9999969938866733,0.999996332438787
ucrC,,,,0.9831474552519546,0.9831652754656367,0.9831561081920707,0.9831574849743924,0.9994545938838998,0.9831515354152818,0.9831681178849839
ucrss,,,,,0.9999982300673137,0.999995429112377,0.9999958768140993,0.9812901440725463,0.9999960091451512,0.999995347646435
ucrss_wfilter,,,,,,0.999995406824647,0.9999956085160755,0.9813088425693828,0.9999958146687131,0.9999952415505137
uc_fast,,,,,,,0.9999984735243069,0.981299178789017,0.9999986074351234,0.9999982445637736
ucr_fast,,,,,,,,0.9812992538952675,0.9999998680284302,0.9999995158493744
ucrC_fast,,,,,,,,,0.981293930371,0.9813098517134984
ucrss_fast,,,,,,,,,,0.9999993466293627
ucrss_fast_wfilter,,,,,,,,,,
