,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,,0.9991612138771608,0.9404269406354345,0.999155120505471,0.9991569854727049,0.9999049444746075,0.9986789212557876,0.933555751092572,0.998670021058546,0.9986777727887878
ucr,,,0.9387763384844605,0.9999941801426943,0.9999966110162294,0.9991734368120323,0.9996407670867441,0.933539334089688,0.9996305340216247,0.9996390595530189
ucrC,,,,0.9387654990358688,0.938760537549731,0.9403367266515321,0.9379873120819889,0.987614654002017,0.9379623248914787,0.937992106541161
ucrss,,,,,0.9999904371719743,0.9991692448967389,0.9996351715994058,0.9335340506047931,0.9996249492170112,0.9996334577096027
ucrss_wfilter,,,,,,0.9991694419164615,0.9996367950498601,0.9335203812666166,0.9996268553808673,0.9996357471646324
uc_fast,,,,,,,0.9987452455478101,0.9336161606363342,0.9987382722455223,0.998745126960993
ucr_fast,,,,,,,,0.9340143956224153,0.9999884183149378,0.9999970490155037
ucrC_fast,,,,,,,,,0.9339874453591577,0.9340187958990278
ucrss_fast,,,,,,,,,,0.9999853369137395
ucrss_fast_wfilter,,,,,,,,,,
