	observed_species	PD_whole_tree
L2S143.273631	1116.0	116.08964
L1S333.274171	534.0	48.48237
L4S2.275115	752.0	80.17377
L2S38.274986	589.0	51.80986
L2S8.274367	529.0	46.60001
L1S144.273302	494.0	44.72474
L2S63.274401	578.0	51.64734
L1S286.274014	516.0	48.65387
L1S285.274434	563.0	46.93279
L1S214.274105	650.0	57.29648
L2S36.274819	483.0	45.66079
L1S328.274091	485.0	42.4093
L1S75.273762	403.0	33.7429
L2S41.274536	465.0	44.62472
L1S74.274032	402.0	32.7522
L4S116.274550	1471.0	148.64235
L4S88.273311	772.0	89.80039
L4S8.274786	657.0	73.4223
L4S60.274173	547.0	67.722
L2S216.273851	1419.0	142.44163
L3S199.274970	743.0	83.15085
L3S291.273654	1125.0	117.05868
L2S278.273562	853.0	92.8158
L3S5.273971	1055.0	114.18694
L2S171.274467	1168.0	125.02296
L2S291.274923	794.0	88.65469
L2S102.273640	1062.0	114.81282
L2S228.273850	1052.0	108.26738
L4S148.274292	600.0	73.64016
L2S227.275054	1228.0	124.90023
L4S68.275042	719.0	81.14545
L4S247.273983	1129.0	122.37201
L5S14.273824	636.0	80.23046
L4S122.274726	722.0	81.49807
L3S139.273657	738.0	80.65436
L2S299.274778	819.0	87.28468
L4S257.274976	940.0	106.25721
L4S260.274084	683.0	78.61884
L4S6.274137	859.0	100.7857
L3S236.274861	945.0	107.48764
L1S318.274878	521.0	44.8139
L1S255.274966	581.0	48.33867
L1S247.273479	492.0	41.30564
L1S363.274890	481.0	44.89767
L1S297.274827	541.0	47.11971
L4S125.274323	1271.0	130.77959
L2S154.273597	855.0	89.47505
L4S254.275097	430.0	52.93165
L2S207.274643	1597.0	157.24393
L2S378.273921	919.0	98.31502
L2S165.273826	1490.0	144.91384
L2S173.273804	1261.0	130.80408
L2S279.273856	739.0	83.3231
L2S203.273915	1015.0	111.24282
L2S134.275076	1182.0	123.4496
L2S124.273871	1070.0	116.84719
L4S41.273728	562.0	67.10603
L4S40.274573	553.0	62.00928
L4S16.274238	763.0	88.12109
L4S4.273869	605.0	69.60179
L4S32.274443	494.0	58.01528
L2S130.274473	914.0	102.63205
L2S215.274614	1145.0	120.15908
L2S147.273854	802.0	87.90715
L2S275.274761	903.0	97.38529
L2S284.273757	769.0	81.01011
L2S355.274178	1340.0	126.62583
L2S222.273793	1213.0	124.92255
L2S98.274156	1198.0	125.25096
L3S278.273760	923.0	100.59789
L4S221.275124	478.0	58.12228
L2S285.274068	701.0	80.61
L4S47.273816	796.0	90.27851
L2S255.274361	1008.0	108.18464
L2S223.274381	1159.0	118.84158
L3S366.274441	1001.0	107.63423
L3S22.273645	712.0	84.03703
L3S71.274456	480.0	57.29594
L3S110.273905	1183.0	120.83502
L4S55.273741	455.0	49.61716
L4S284.273517	449.0	55.55928
L2S196.273424	1130.0	124.33273
L2S201.273251	1309.0	134.42128
L2S226.273622	1213.0	123.40634
L2S180.273868	1117.0	112.36128
L2S349.273530	517.0	59.02224
L3S253.273835	1154.0	127.31332
L4S164.274024	851.0	92.59811
L4S202.273235	967.0	107.01918
L4S138.274376	429.0	50.07826
L2S185.274170	1283.0	128.56097
L2S365.274608	1248.0	135.17398
L2S162.274593	886.0	96.39336
L4S112.273401	715.0	82.8625
L4S169.274837	520.0	62.91166
L4S123.274541	745.0	91.42198
L4S216.273617	841.0	93.40678
L4S231.273354	1063.0	117.4141
L2S168.274483	1237.0	128.95048
L2S362.273633	1404.0	143.97852
L2S232.273319	1191.0	119.66943
L2S208.274717	1501.0	149.02095
L4S80.274159	772.0	90.82064
L4S147.274736	1032.0	114.08688
L4S110.274943	1368.0	133.2353
L4S86.274094	339.0	36.02076
L2S286.274871	727.0	74.69226
L2S178.274740	1107.0	118.73368
L3S300.273751	548.0	63.15525
L4S129.275011	505.0	53.29363
L2S256.273735	673.0	69.55887
L4S128.273697	837.0	92.46903
L2S176.274685	1327.0	134.45147
L2S140.275066	951.0	102.94429
L3S298.274359	883.0	101.78854
L4S120.274601	1288.0	134.76799
L2S9.274120	560.0	49.2647
L4S220.274525	888.0	97.93966
L4S39.274588	702.0	78.15686
L2S380.274540	945.0	107.45348
L4S265.274767	752.0	91.46744
L4S75.274965	840.0	95.10959
L2S229.274131	1250.0	123.95997
L2S230.274079	1172.0	120.11595
L2S224.275168	1367.0	135.03345
L2S202.273648	1009.0	115.63018
L3S287.273761	707.0	80.49692
L3S178.273318	424.0	52.72996
L4S238.273642	548.0	68.31385
L4S273.274149	1040.0	115.16358
L2S148.274630	745.0	85.74221
L4S31.274252	566.0	62.17924
L4S30.274615	941.0	100.92532
L2S155.273430	778.0	85.75153
L2S254.273957	1070.0	115.4782
L2S129.273959	1090.0	115.58841
L2S118.274673	879.0	96.80972
L2S142.274028	967.0	107.58397
L4S89.274390	980.0	105.03834
L4S56.273478	1069.0	114.69688
L2S138.274982	756.0	83.32148
L2S152.273834	1044.0	113.29169
L2S117.275169	967.0	99.86805
L2S334.273744	826.0	93.43129
L2S122.275099	1018.0	108.31922
L2S366.275139	908.0	100.83983
L2S189.274133	1140.0	123.82695
L2S166.274382	1154.0	119.31672
L2S311.274660	629.0	71.89564
L4S201.274355	1285.0	135.46052
L4S218.275057	886.0	98.74679
L4S191.273409	982.0	111.15466
L2S132.274707	740.0	84.12953
L2S135.274833	996.0	109.2569
L3S276.273304	650.0	72.45746
L4S27.273795	737.0	87.00907
L2S236.274123	674.0	75.84838
L4S209.274347	753.0	90.81389
L4S140.274194	382.0	45.81773
L4S135.273226	851.0	93.81038
L4S229.273698	1027.0	111.33376
L2S197.275032	1271.0	137.99981
L2S361.273372	1288.0	137.22629
L4S63.274255	850.0	96.99499
L2S123.273268	1148.0	119.08056
L4S10.274622	954.0	104.42001
L2S198.273998	1050.0	111.17977
L2S158.273322	1368.0	143.47874
L2S179.274237	911.0	100.90908
L2S121.274618	819.0	94.26845
L3S297.275024	1144.0	123.66505
L2S262.273847	876.0	97.50483
L4S72.274334	621.0	70.98403
L2S350.274395	803.0	94.53369
L4S195.274073	982.0	107.75434
L4S190.274189	378.0	47.16882
L4S244.273659	407.0	51.04543
L4S14.273726	622.0	70.66557
L4S258.273669	864.0	100.06272
L4S177.274729	612.0	69.6323
L2S289.275164	879.0	97.20291
L2S182.273544	1168.0	121.30611
L4S102.275028	1033.0	117.37161
L4S95.275048	1180.0	123.23005
L4S1.273228	715.0	83.76042
L4S78.273629	870.0	100.01772
L1S248.273910	515.0	46.45767
L4S17.273844	898.0	101.17988
L2S296.273441	672.0	72.4464
L4S227.273305	1019.0	106.69268
L4S214.273364	649.0	75.50332
L2S293.274140	815.0	91.13194
L2S231.274183	962.0	101.00668
L3S62.274808	817.0	96.50309
L4S259.274847	916.0	104.45509
L2S115.273884	1207.0	129.26116
L3S322.274182	1225.0	130.15056
L3S187.273361	869.0	98.5682
L2S271.274172	600.0	65.74408
L2S243.274397	588.0	62.33567
L2S157.274738	1122.0	116.72053
L4S179.274591	526.0	61.49124
L5S283.273985	255.0	30.21787
L2S114.274971	611.0	73.17245
L3S292.273460	1161.0	121.12837
L2S267.274489	728.0	72.868
L4S143.274451	1017.0	111.00716
L4S25.274037	950.0	106.2198
L3S238.274469	732.0	83.94125
L3S343.273923	914.0	103.64945
L4S283.274460	524.0	56.85494
L4S118.273855	534.0	60.06773
L3S50.274760	524.0	61.17094
L4S253.274274	628.0	72.77846
L3S13.274353	1161.0	121.38851
L2S338.274929	747.0	82.83952
L4S7.273295	550.0	63.49579
L4S23.275107	1033.0	111.96731
L4S187.274677	1008.0	111.81494
L2S292.274340	776.0	90.52426
L2S187.273503	1112.0	117.19128
L4S45.274753	744.0	79.94492
L4S208.273997	613.0	72.73779
L5S20.274997	603.0	73.67242
L4S21.273906	416.0	51.74699
L2S257.273450	494.0	48.38123
L5S36.273567	604.0	68.71412
L3S251.275013	1037.0	105.76185
L2S301.275033	484.0	48.30979
L3S309.273407	1257.0	131.54629
L4S81.273408	830.0	91.87203
L3S257.273445	831.0	91.23461
L3S348.275040	1390.0	139.69142
L4S151.274948	1039.0	111.2044
L4S33.274689	810.0	92.59147
L2S220.274533	1336.0	135.34728
L4S117.273939	1063.0	115.40774
L2S318.275058	767.0	89.81764
L4S57.274432	539.0	67.19165
L3S48.274240	738.0	89.57437
L4S274.273701	893.0	99.87691
L4S28.274864	875.0	95.09803
L2S345.273609	883.0	96.80066
L4S87.274154	811.0	96.85218
L2S193.274142	1060.0	117.29162
L3S246.273437	1002.0	112.433
L4S113.274623	1029.0	113.94683
L2S280.274825	621.0	71.57639
L2S213.273541	760.0	85.68203
L4S85.273674	904.0	99.39306
L3S270.273616	851.0	93.73469
L2S209.275051	1398.0	141.44274
L2S303.274444	478.0	58.51419
L3S256.274419	1102.0	119.93211
L3S70.273663	674.0	82.15202
L2S320.274818	452.0	49.91144
L3S265.274161	780.0	88.55344
L4S50.274371	696.0	78.92856
L4S153.273928	922.0	104.43491
L2S269.274477	730.0	72.72797
L4S271.273427	933.0	102.16481
L3S293.275055	870.0	95.49246
L4S215.274341	673.0	81.9085
L4S119.274207	978.0	107.56708
L3S290.274166	1227.0	128.05908
L2S126.273811	777.0	88.10254
L2S252.274922	752.0	78.32628
L4S182.274989	657.0	75.59193
L2S120.274680	871.0	96.36106
L4S52.273378	905.0	101.8434
L4S200.274383	956.0	104.43937
L3S261.274895	1323.0	134.57593
L4S9.275080	984.0	105.536
L4S59.274899	743.0	84.63278
L4S198.273770	753.0	92.45051
L4S11.274407	531.0	61.6997
L4S207.274801	856.0	98.40364
L2S146.274684	949.0	102.20529
L4S249.273807	614.0	70.86268
L4S178.274459	503.0	57.30158
L4S263.274538	788.0	89.40238
L2S194.274054	1138.0	121.76464
L3S364.274972	1205.0	125.43033
L2S174.274862	770.0	83.40552
L4S162.273791	942.0	108.97055
L2S133.274795	728.0	77.29029
L2S116.274289	851.0	96.31479
L4S130.274090	637.0	76.84327
L4S70.275142	652.0	69.9001
L2S342.274987	451.0	50.16131
L4S157.274913	927.0	108.704
L4S91.274790	459.0	59.77015
L3S314.273254	1382.0	138.7581
L3S123.274527	615.0	70.45361
L4S48.273908	811.0	92.4982
L2S335.273456	880.0	98.37011
L3S268.274253	698.0	81.51262
L4S38.275158	494.0	55.38013
L3S376.274011	487.0	50.34379
L3S260.273239	988.0	111.80607
L3S14.273678	870.0	99.4957
L3S170.275172	914.0	99.55742
L4S145.273686	451.0	55.08372
L2S268.274328	1006.0	110.08632
L3S346.274824	1461.0	147.50265
L4S15.275110	729.0	81.34274
L3S49.274309	1047.0	117.67874
L4S29.274036	612.0	72.52121
L2S328.273471	554.0	65.93468
L2S112.273209	890.0	96.89308
L1S334.273724	336.0	33.56946
L5S220.275151	273.0	25.64468
L5S166.274059	267.0	27.73936
L5S202.274236	307.0	29.41049
L6S78.274661	328.0	35.21494
L6S154.274642	300.0	32.83806
L6S71.274352	330.0	34.62786
L6S105.274914	354.0	32.91967
L6S70.274306	283.0	31.00793
L6S102.274505	332.0	33.36981
L6S41.274886	303.0	30.8192
L6S293.273746	283.0	29.9443
L6S43.274193	240.0	28.64659
L6S32.274863	298.0	32.28451
L6S61.273593	288.0	28.51882
L6S173.273554	292.0	32.73684
L6S141.273879	270.0	30.98737
L6S33.275108	280.0	29.58858
L6S59.273694	321.0	35.94345
L6S230.273449	274.0	30.00374
L6S19.273386	249.0	27.98697
L4S77.273849	588.0	65.58782
L6S23.274229	288.0	31.77767
L6S291.273634	291.0	28.36114
L6S99.273533	334.0	32.42638
L6S87.274373	295.0	31.71951
L6S128.273725	309.0	31.35225
L6S182.275154	296.0	29.84152
L6S28.274852	247.0	27.85611
L6S93.275077	335.0	36.99535
L6S106.274388	285.0	33.94802
L5S233.273886	254.0	27.85255
L5S240.273383	253.0	29.32345
L5S131.274269	271.0	27.83372
L6S35.273945	268.0	31.38137
L6S67.274349	293.0	29.53235
L6S126.274375	305.0	30.53086
L6S114.274035	276.0	30.47308
L6S303.273393	279.0	32.26096
L6S86.273719	351.0	35.24684
L6S121.273838	286.0	29.15272
L6S191.275075	287.0	31.02957
L3S42.273878	239.0	29.99201
L6S36.273350	281.0	29.5551
L6S22.274357	282.0	30.70626
L6S185.274065	332.0	34.08764
L6S257.274248	332.0	34.75073
L2S326.273858	637.0	69.10803
L5S230.273490	282.0	28.45355
L6S129.273418	314.0	32.55629
L6S8.274695	329.0	35.27219
L6S170.274327	275.0	27.78605
L6S117.273808	254.0	27.86331
L6S215.273292	315.0	32.97612
L6S145.274619	284.0	30.0739
L6S307.273972	256.0	28.41933
L6S100.274915	310.0	33.45348
L6S281.273980	331.0	34.95669
L6S119.274806	287.0	30.68004
L6S45.274617	319.0	32.99967
L6S90.273221	342.0	32.51268
L6S116.273380	251.0	28.21858
L5S173.275171	286.0	28.38169
L6S321.274400	243.0	26.29845
L6S250.274033	279.0	26.51834
L6S60.274051	291.0	32.33146
L6S142.275170	302.0	31.08658
L6S20.274952	242.0	27.76396
L4S106.273395	574.0	69.70161
L6S65.275067	259.0	29.51095
L6S73.274181	338.0	36.00747
L6S47.273942	280.0	29.79156
L6S124.274996	281.0	29.49255
L6S179.273696	289.0	29.87937
L5S256.275129	274.0	29.42409
L6S290.274380	309.0	31.11929
L6S163.273624	322.0	34.50491
L6S76.274544	355.0	37.5514
