OTU	Test-Statistic	P	FDR_P	Bonferroni_P	skin/other_mean	oral_mean	gut_mean	taxonomy
4295238	354.097449013	1.28444620197e-77	8.99369230618e-74	8.99369230618e-74	0.0021645021645	1.4	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__
4346374	337.747960217	4.55997332239e-74	1.59644666017e-70	3.19289332034e-70	0.116883116883	0.0	10.1219512195	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
3866487	332.562976015	6.0935070194e-73	1.42222453833e-69	4.26667361499e-69	0.0735930735931	5.04444444444	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__
2874602	323.110650965	6.87723113964e-71	1.20385931099e-67	4.81543724398e-67	0.0	0.0	2.21951219512	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
4325533	321.87637644	1.27477321165e-70	1.78519240559e-67	8.92596202795e-67	0.030303030303	0.0	12.243902439	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
4458959	308.554285586	9.960661956e-68	1.16240925026e-64	6.97445550159e-64	0.138528138528	9.24444444444	0.170731707317	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__
4412541	303.500835841	1.2463237489e-66	1.2466798414e-63	8.72675888983e-63	0.0800865800866	0.0	4.24390243902	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
4391641	292.464659436	3.1053183358e-64	2.71792987341e-61	2.17434389872e-60	0.025974025974	3.48888888889	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae
4326219	286.458678123	6.25587984871e-63	4.8670745223e-60	4.38036707007e-59	0.0584415584416	4.84444444444	0.0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__
526682	281.003318362	9.5698409385e-62	6.15689404675e-59	6.70080262514e-58	0.0367965367965	1.42222222222	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
4428929	280.982007756	9.67235568613e-62	6.15689404675e-59	6.77258345143e-58	0.0108225108225	0.0	3.85365853659	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae
316732	277.381013203	5.85434471068e-61	3.41601013868e-58	4.09921216642e-57	0.0497835497835	0.0	5.80487804878	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__
4393962	276.757535648	7.9958515298e-61	4.30668864705e-58	5.59869524116e-57	0.0281385281385	1.95555555556	0.0	k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__;s__
4391230	275.309864762	1.64900685196e-60	8.24738998387e-58	1.15463459774e-56	0.19696969697	9.08888888889	0.0487804878049	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar
4374753	272.191812745	7.83968932975e-60	3.44348722489e-57	5.48935046869e-56	0.300865800866	15.5777777778	0.365853658537	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar
175751	272.184455988	7.86857977696e-60	3.44348722489e-57	5.50957955983e-56	0.0411255411255	0.0	6.51219512195	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
1042805	262.999496649	7.76935437571e-58	3.2000599611e-55	5.44010193388e-54	0.030303030303	1.42222222222	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__infantis
875735	262.589291076	9.53805756891e-58	3.71030439431e-55	6.67854790975e-54	0.030303030303	1.48888888889	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
772282	259.721010054	4.00220425638e-57	1.47491758964e-54	2.80234342032e-53	0.00649350649351	0.0	1.78048780488	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
4404224	256.287488043	2.22781478077e-56	7.76159905232e-54	1.55991590949e-52	0.0995670995671	4.33333333333	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri
4412168	256.109638766	2.43499773105e-56	7.76159905232e-54	1.70498541128e-52	0.0	0.0	1.0243902439	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
2617854	256.106630587	2.43866294132e-56	7.76159905232e-54	1.70755179151e-52	0.0	0.0	1.73170731707	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
4296244	250.243486232	4.57422368887e-55	1.39255279433e-52	3.20287142695e-51	0.162337662338	10.1777777778	0.268292682927	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar
174036	249.722549933	5.93522624589e-55	1.73160225724e-52	4.15584541737e-51	0.00865800865801	0.0	1.70731707317	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
530206	248.114103137	1.32649941436e-54	3.71525955973e-52	9.28814889933e-51	0.164502164502	11.4222222222	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__
4217226	247.561699067	1.74847763799e-54	4.70878477738e-52	1.22428404212e-50	0.00865800865801	0.0	3.75609756098	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella;s__
4321136	246.599634574	2.82858824762e-54	7.33547218883e-52	1.98057749098e-50	0.112554112554	4.37777777778	0.0243902439024	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
4465561	243.412284525	1.39217554823e-53	3.48143328167e-51	9.74801318868e-50	0.0367965367965	4.73333333333	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
4469167	242.681125064	2.00661133523e-53	4.84492847217e-51	1.40502925693e-49	0.004329004329	0.0	1.60975609756	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
4469722	241.864896694	3.01790107559e-53	7.04378111042e-51	2.11313433312e-49	0.480519480519	36.4444444444	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
4451251	240.017971793	7.59905602222e-53	1.66573718345e-50	5.32085902676e-49	0.0952380952381	4.73333333333	0.0	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__
4387092	240.01440414	7.61262351764e-53	1.66573718345e-50	5.33035898705e-49	0.411255411255	28.8222222222	0.0	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
518743	235.534331502	7.15104918133e-52	1.5173226172e-49	5.00716463677e-48	0.0411255411255	2.13333333333	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula
4393071	234.487270769	1.20708016689e-51	2.48587509663e-49	8.45197532854e-48	0.00649350649351	1.64444444444	0.0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__
197341	232.738524635	2.89381998942e-51	5.78929359027e-49	2.02625275659e-47	0.00649350649351	0.0	0.756097560976	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__
4408758	229.760114888	1.28299502197e-50	2.49542531773e-48	8.98353114382e-47	0.235930735931	17.2444444444	0.146341463415	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar
4384936	227.718928537	3.56010621969e-50	6.73726047305e-48	2.49278637503e-46	0.142857142857	3.44444444444	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__Gemella;s__
3486634	222.158349124	5.74020540584e-49	1.05770837504e-46	4.01929182517e-45	0.160173160173	0.0	29.8292682927	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
4396516	221.88264058	6.58865523726e-49	1.18291702491e-46	4.61337639713e-45	0.0670995670996	1.77777777778	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
868817	221.025202246	1.01154952713e-48	1.77071744724e-46	7.08286978896e-45	0.354978354978	7.33333333333	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
176060	216.835585512	8.21771103812e-48	1.40342469973e-45	5.75404126889e-44	0.00649350649351	0.0	0.80487804878	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
182886	216.48807765	9.77712661563e-48	1.62998668006e-45	6.84594405626e-44	0.0	0.0	0.90243902439	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis
180090	216.406602673	1.01836462768e-47	1.65827654024e-45	7.13058912305e-44	0.0021645021645	0.0	0.707317073171	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
4328910	215.967176112	1.26859668218e-47	2.01879862924e-45	8.88271396864e-44	0.0865800865801	4.75555555556	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula
1069592	215.571569511	1.54606750774e-47	2.40568104204e-45	1.08255646892e-43	0.378787878788	9.37777777778	0.0243902439024	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__
4463579	212.645431989	6.67776517149e-47	1.01647199415e-44	4.67577117308e-43	0.00865800865801	0.888888888889	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
4409962	211.662484432	1.09163007615e-46	1.62629655174e-44	7.64359379319e-43	0.19696969697	13.2666666667	0.0731707317073	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar
4308270	207.584177351	8.38819702868e-46	1.21095949545e-43	5.87341555948e-42	0.0	0.866666666667	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
4439603	207.563753571	8.47429524096e-46	1.21095949545e-43	5.93370152772e-42	0.138528138528	5.31111111111	0.0243902439024	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
1089121	203.689133163	5.8812104711e-45	8.23604714373e-43	4.11802357186e-41	0.318181818182	11.6222222222	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
4417848	203.620663051	6.0860402163e-45	8.35577521461e-43	4.26144535945e-41	0.170995670996	2.97777777778	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__
184725	203.55874125	6.27741680831e-45	8.4527831715e-43	4.39544724918e-41	0.0021645021645	0.0	2.21951219512	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
191483	203.392298238	6.82218679953e-45	8.90762875471e-43	4.77689519703e-41	0.0	0.0	0.658536585366	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
177222	203.378435961	6.86963657176e-45	8.90762875471e-43	4.81011952754e-41	0.0	0.0	1.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
749837	201.591244852	1.67887120469e-44	2.13735566823e-42	1.17554561753e-40	0.0281385281385	1.31111111111	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__
4307391	201.374177593	1.8713410172e-44	2.33984460758e-42	1.31031298024e-40	0.168831168831	13.9333333333	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
4478125	196.548564723	2.08939935991e-43	2.56666216107e-41	1.46299743181e-39	0.025974025974	0.0	2.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii
2662130	194.898851779	4.76707595437e-43	5.75501135043e-41	3.33790658325e-39	0.149350649351	7.93333333333	0.0243902439024	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula
179644	191.742811955	2.30981613996e-42	2.7412428156e-40	1.6173332612e-38	0.004329004329	0.0	1.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii
195947	191.250505914	2.95447493632e-42	3.44787225069e-40	2.06872335041e-38	0.00649350649351	0.0	1.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__
257278	191.165363341	3.08296635329e-42	3.53884105012e-40	2.15869304057e-38	0.0562770562771	4.24444444444	0.0	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__
184678	190.900205397	3.52003596625e-42	3.97536965092e-40	2.46472918357e-38	0.00649350649351	0.0	0.731707317073	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii
4484034	190.355057236	4.62300666945e-42	4.93236639123e-40	3.23702926995e-38	0.017316017316	0.0	1.87804878049	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
2061739	190.336184803	4.66683683266e-42	4.93236639123e-40	3.26771915023e-38	0.0	0.0	0.487804878049	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
3186216	190.321590808	4.70101527754e-42	4.93236639123e-40	3.29165089733e-38	0.0	0.0	0.560975609756	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
180874	190.315597494	4.71512373613e-42	4.93236639123e-40	3.30152964004e-38	0.0	0.0	0.80487804878	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__
3579707	190.313686662	4.71963079423e-42	4.93236639123e-40	3.30468548212e-38	0.0	0.0	1.36585365854	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__
4320756	189.644457397	6.59522041612e-42	6.79113725789e-40	4.61797333537e-38	0.242424242424	22.2666666667	0.0243902439024	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae
4323393	188.786736811	1.01270038071e-41	1.02767073416e-39	7.09092806573e-38	0.0108225108225	1.71111111111	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae
509773	188.005879303	1.49638045395e-41	1.49680799122e-39	1.04776559385e-37	0.320346320346	9.06666666667	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
1086036	186.833262046	2.68950668844e-41	2.65238392007e-39	1.88319258325e-37	0.121212121212	2.86666666667	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__nanceiensis
2108562	185.385324354	5.5473849456e-41	5.39483185959e-39	3.88427893891e-37	0.0779220779221	0.0	1.48780487805	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
4447950	184.127908664	1.04023784867e-40	9.9682958139e-39	7.28374541636e-37	0.025974025974	0.0	5.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
353782	184.102589994	1.05349027453e-40	9.9682958139e-39	7.37653890229e-37	0.0194805194805	0.0	1.9512195122	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
4342682	183.448664481	1.46092745766e-40	1.36392187448e-38	1.02294140586e-36	0.205627705628	0.0	3.24390243902	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii
86170	182.283742658	2.61570168059e-40	2.40988725888e-38	1.83151431675e-36	0.030303030303	0.0	2.12195121951	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii
1042479	178.690855913	1.5767892673e-39	1.43385434411e-37	1.10406784496e-35	0.0367965367965	1.15555555556	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
