	observed_species	PD_whole_tree
F21Plml.140704	142.0	14.15259
M22Pinr.140692	82.0	9.36231
F12Aptl.140591	121.0	14.99486
M11Indl.140749	127.0	12.7401
F31Forr.140586	143.0	15.23648
F32Nstr.140767	84.0	10.01211
M33Plmr.140723	150.0	16.46615
M21Plml.140352	245.0	21.49216
F24Plmr.140433	160.0	15.1358
M53Fotl.140376	313.0	26.05915
M63Plml.140689	143.0	14.47962
M12Glns.140683	41.0	5.84843
M11Glns.140664	47.0	4.95856
F33Fotr.140629	311.0	24.01349
M24Plml.140651	171.0	15.82738
F32Fotl.140455	103.0	12.30181
F14Fotl.140552	37.0	3.73642
F11Fcsw.140616	182.0	18.03688
F33Frhd.140757	120.0	12.18252
F33Knee.140702	202.0	19.91693
M21Glns.140311	130.0	13.52752
M21Plmr.140842	207.0	18.81094
M33Knee.140298	138.0	12.62362
M23Knee.140621	157.0	14.16095
F11Mout.140583	133.0	11.82493
M31Mout.140342	145.0	12.44826
M41Mout.140367	138.0	11.47592
F11Indr.140809	184.0	16.78365
M42Nose.140308	75.0	8.86332
M42Forr.140521	175.0	17.7491
M21Mout.140501	115.0	10.92409
M54Plmr.140626	184.0	16.22591
M31Indr.140588	151.0	14.22313
F12Indl.140710	138.0	13.79368
F12Plml.140300	208.0	19.40856
M32Mout.140657	131.0	11.12498
M31Indl.140291	143.0	13.74148
F12Indr.140556	222.0	18.22073
F22Indr.140640	156.0	15.2632
F22Knel.140720	152.0	16.07184
F21Fotl.140348	19.0	1.79973
F12Plmr.140839	215.0	19.04149
F12Pinl.140479	93.0	11.02511
F21Navl.140840	123.0	11.75299
M31Plmr.140505	180.0	15.01662
M12Indr.140762	126.0	13.10103
F12Nstl.140831	73.0	9.72398
M31Knel.140873	122.0	12.5817
F22Plmr.140357	128.0	15.2796
M32Nstl.140853	77.0	9.15736
F22Mout.140788	132.0	11.92946
M31Plml.140743	136.0	12.62985
M21Indr.140425	216.0	18.3216
M42Indl.140869	174.0	16.63055
F32Plmr.140529	169.0	16.05973
M42Frhd.140770	93.0	10.71408
M21Indl.140576	212.0	18.12257
M22Forl.140587	206.0	18.99762
F32Indl.140607	138.0	13.89049
F31Mout.140605	108.0	9.06923
M21Hair.140504	209.0	18.33039
F32Indr.140459	97.0	11.09557
M21Forl.140771	206.0	19.01122
F32Forl.140724	90.0	11.11784
M21Nstr.140593	200.0	17.82637
M42Indr.140519	136.0	14.11887
F32Aptl.140820	156.0	15.74676
F32Nstl.140804	95.0	11.46161
M42Plml.140513	164.0	15.52479
F32Plml.140737	144.0	14.15915
M22Mout.140541	120.0	10.18149
M21Forr.140361	185.0	18.16436
M41Urin.140696	86.0	9.82496
M22Indr.140471	176.0	16.64253
M21Nstl.140369	219.0	18.70573
M42Mout.140653	138.0	12.87343
F32Mout.140603	122.0	10.71217
M44Plmr.140868	181.0	15.1643
M43Plmr.140716	207.0	19.55206
F23Plmr.140435	189.0	15.90707
F31Fotr.140874	189.0	20.3324
F33Plml.140709	277.0	21.48098
F32Nose.140543	44.0	6.61664
M11Fcsp.140589	131.0	14.69025
F22Fcsw.140281	186.0	15.79918
M22Nstl.140860	228.0	19.48424
M22Indl.140813	241.0	19.51994
M41Fcsw.140359	188.0	16.02083
M21Fcsp.140319	148.0	11.765
M22Fcsw.140276	166.0	14.08155
M42Fcsw.140447	149.0	14.05467
M53Fcsw.140426	129.0	10.122
F34Fcsw.140733	160.0	13.59972
F32Fcsw.140706	170.0	14.05455
