,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,1.0,0.986013020298,0.970653961934,0.9860537585,0.986288253619,0.992712278534,0.987933200128,0.971591401742,0.988238764882,0.987424944877
ucr,0.986013020298,1.0,0.983915853422,0.995432678888,0.995314641479,0.98697272526,0.992699606039,0.979658308372,0.992897962146,0.992813347277
ucrC,0.970653961934,0.983915853422,1.0,0.984706051764,0.983560717253,0.970210363851,0.980583768665,0.992098571595,0.980124456333,0.979128791698
ucrss,0.9860537585,0.995432678888,0.984706051764,1.0,0.995364698138,0.986946716847,0.992549029078,0.980567914081,0.992644146911,0.992454980538
ucrss_wfilter,0.986288253619,0.995314641479,0.983560717253,0.995364698138,1.0,0.986129788198,0.992597101029,0.979232390994,0.991828708358,0.992432504921
uc_fast,0.992712278534,0.98697272526,0.970210363851,0.986946716847,0.986129788198,1.0,0.988851074714,0.971697454197,0.989586145535,0.98820678553
ucr_fast,0.987933200128,0.992699606039,0.980583768665,0.992549029078,0.992597101029,0.988851074714,1.0,0.981125165013,0.994333894773,0.994478264824
ucrC_fast,0.971591401742,0.979658308372,0.992098571595,0.980567914081,0.979232390994,0.971697454197,0.981125165013,1.0,0.98158578641,0.979289316694
ucrss_fast,0.988238764882,0.992897962146,0.980124456333,0.992644146911,0.991828708358,0.989586145535,0.994333894773,0.98158578641,1.0,0.994628763244
ucrss_fast_wfilter,0.987424944877,0.992813347277,0.979128791698,0.992454980538,0.992432504921,0.98820678553,0.994478264824,0.979289316694,0.994628763244,1.0
