OTU	Test-Statistic	P	FDR_P	Bonferroni_P	acidic_mean	neutral_mean	basic/neutral_mean	acidic/neutral_mean	basic_mean	taxonomy
211037	35.3068159674	4.01772784587e-07	0.00050380758991	0.00725561471686	1.58823529412	0.117647058824	0.0	1.44444444444	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
DeNovoOTU38308	35.2754593469	4.07778513003e-07	0.00050380758991	0.00736407216631	0.0	0.0	0.111111111111	0.0	0.944444444444	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
209803	35.1161361199	4.39704278799e-07	0.00050380758991	0.00794061957083	2.47058823529	0.0588235294118	0.0	1.05555555556	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
4082577	35.0175262713	4.60699968811e-07	0.00050380758991	0.00831978073675	1.05882352941	0.235294117647	0.0	0.222222222222	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
826270	34.9410767955	4.77662484076e-07	0.00050380758991	0.00862610679992	3.64705882353	3.76470588235	3.05555555556	7.22222222222	0.111111111111	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
DeNovoOTU24046	34.8353069141	5.02161615725e-07	0.00050380758991	0.00906853661837	1.23529411765	0.235294117647	0.0	0.166666666667	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
546509	33.8367243085	8.04909370958e-07	0.000724971683377	0.0145358583301	1.35294117647	0.0	0.0	0.833333333333	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus Koribacter;s__
4466061	33.7859477124	8.24436476806e-07	0.000724971683377	0.0148884983346	0.0	0.0588235294118	0.0	0.0	0.666666666667	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
511572	33.738682909	8.43037009298e-07	0.000724971683377	0.0152244053509	0.0	0.0	0.0	0.0	1.5	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
DeNovoOTU25898	33.3545397471	1.01057584384e-06	0.000826317606906	0.0182499891638	0.0	0.117647058824	0.0	1.72222222222	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__;s__
1147699	33.1181547583	1.12975887453e-06	0.000826317606906	0.020402315515	1.41176470588	0.0588235294118	0.0	1.11111111111	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
112795	33.1149039833	1.13149191538e-06	0.000826317606906	0.0204336124998	1.52941176471	0.235294117647	0.166666666667	0.777777777778	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__;s__
114022	33.0917475726	1.14391384754e-06	0.000826317606906	0.0206579401726	1.64705882353	0.117647058824	0.0	0.277777777778	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
DeNovoOTU26523	31.5329504731	2.3831346299e-06	0.00162163120171	0.0430370282814	5.64705882353	0.0	0.0555555555556	0.0	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
843189	31.4060076379	2.52968632208e-06	0.00162163120171	0.0456836052904	1.41176470588	0.294117647059	0.0	0.166666666667	0.0	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter;s__
112804	31.4008714597	2.53580119105e-06	0.00162163120171	0.0457940337092	0.411764705882	0.0	0.0	0.0	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__
DeNovoOTU17761	31.3443340606	2.60409241097e-06	0.00162163120171	0.0470273048496	0.764705882353	0.0	0.0	0.0	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
588042	31.1520648331	2.85033338073e-06	0.00171580568408	0.0514741705225	1.11764705882	0.0	0.0	0.166666666667	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__;s__
820182	31.0742909046	2.9564055696e-06	0.00172224929617	0.0533897281814	1.0	0.0588235294118	0.0	0.277777777778	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
