	observed_species	PD_whole_tree
SF1.141728	336.0	52.4464
CO2.141657	298.0	48.02164
BP1.141702	329.0	59.87765
CA1.141704	327.0	58.7487
SB1.141730	341.0	55.22442
SA2.141687	342.0	57.17155
SV1.141649	330.0	53.64421
SV2.141666	333.0	46.97148
VC2.141694	326.0	57.61065
MT1.141719	346.0	58.30548
CC1.141721	361.0	67.4299
CA2.141685	352.0	60.14725
SR2.141673	332.0	50.45626
MD3.141707	296.0	45.01667
CO3.141651	335.0	54.48214
MD2.141689	324.0	47.89687
GB2.141732	341.0	54.81292
SR1.141680	343.0	59.41711
SF2.141677	313.0	50.50456
CR1.141682	328.0	52.13594
IE2.141655	324.0	54.64735
GB5.141668	282.0	46.49051
GB1.141665	343.0	47.41565
IT1.141711	332.0	58.62605
KP1.141713	345.0	56.95278
SK3.141716	324.0	54.51589
HJ1.141718	270.0	43.5884
MT2.141698	318.0	56.89125
SN1.141681	273.0	38.55168
CL3.141664	349.0	59.89717
KP3.141658	321.0	49.2401
IT2.141720	314.0	49.77034
HI3.141676	308.0	49.11086
CL4.141667	327.0	52.01628
DF2.141726	356.0	63.94603
SP1.141656	352.0	58.33889
CL2.141671	354.0	60.56094
CF3.141691	222.0	25.21052
BF2.141708	291.0	39.3039
PE1.141715	316.0	42.31694
CF2.141679	267.0	30.87369
SP2.141678	323.0	52.48155
PE3.141731	302.0	39.06726
BZ1.141724	310.0	49.27074
BB2.141659	258.0	40.26478
CF1.141675	299.0	41.26201
BF1.141647	309.0	39.78725
PE6.141700	316.0	44.27351
TL2.141706	330.0	60.33928
CL1.141697	334.0	55.10477
MP2.141695	276.0	35.66047
GB3.141652	299.0	47.29836
CO1.141714	331.0	54.03866
MD5.141688	248.0	35.22379
JT1.141699	313.0	43.8779
MD4.141660	282.0	39.81268
SR3.141674	354.0	53.48047
CM1.141723	311.0	50.78097
IE1.141648	337.0	61.78199
SA1.141670	348.0	56.05329
SN3.141650	337.0	53.24026
SK2.141662	334.0	56.05825
MP1.141661	289.0	43.49712
LQ3.141712	287.0	40.28229
PE5.141692	287.0	34.79497
HF1.141663	281.0	36.49573
HF2.141686	254.0	31.39345
PE2.141725	301.0	38.57174
HI2.141672	294.0	42.31864
KP4.141733	341.0	53.98318
DF1.141684	337.0	52.81677
TL3.141709	269.0	38.88854
PE4.141683	298.0	36.48155
HJ2.141717	318.0	53.52323
AR3.141705	339.0	53.44497
DF3.141696	304.0	43.00038
VC1.141722	329.0	51.76738
SK1.141669	241.0	40.83394
RT2.141710	327.0	55.53956
AR1.141727	317.0	51.76422
TL1.141653	251.0	38.97696
AR2.141703	319.0	54.09587
LQ2.141729	271.0	36.04906
LQ1.141701	345.0	58.17278
PE7.141734	342.0	61.61759
HI1.141693	233.0	34.16013
RT1.141654	319.0	48.46292
HI4.141735	300.0	46.09348
